DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.04908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,1.15098,0.61899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.7242,1.09854,0.69055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.89088,0.94308,1.17457,0.7992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,1.76935,1.76974,1.82428,1.90258,1.65508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.24194,1.12314,1.18885,1.2259,1.37179,1.22119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.42605,-0.44795,0.39929,0.52461,0.59036,0.76342,0.68378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.20924,-0.57772,-0.46414,0.19708,0.3103,0.35985,0.5034,0.44151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.81126,0.35517,-0.05163,-0.06962,0.47645,0.54888,0.57427,0.69166,0.63399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.47257,0.7916,0.47597,0.12197,0.12647,0.65802,0.71626,0.74199,0.84302,0.78318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-1.29645,-0.53998,-0.15385,-0.31032,-0.53374,-0.53353,-0.06018,-0.00705,0.04038,0.17944,0.13635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.25823,-1.1559,-0.61521,-0.26255,-0.3862,-0.60668,-0.58757,-0.14212,-0.08698,-0.03821,0.08462,0.04299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.65747,-0.59335,-1.18225,-0.69795,-0.37788,-0.48976,-0.69072,-0.68566,-0.27528,-0.22127,-0.17158,-0.05596,-0.08926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.54799,-0.83294,-0.70179,-1.21052,-0.76238,-0.45965,-0.5535,-0.75139,-0.74654,-0.35937,-0.30825,-0.25494,-0.14363,-0.17511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.22597,-0.30089,-0.65009,-0.60376,-1.1528,-0.7346,-0.44286,-0.53892,-0.73502,-0.72974,-0.34606,-0.29626,-0.24152,-0.13464,-0.16491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
