DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.74918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.20324,0.50221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.87686,0.52854,0.64541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.17922,0.56781,0.40828,0.56551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-0.06768,-0.02593,0.30909,0.27353,0.46198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.27643,-0.0018,0.01583,0.27824,0.28277,0.46468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.49077,-0.25791,-0.28697,-0.23234,0.10067,0.13949,0.31592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-1.07893,-1.1761,-0.96863,-0.84247,-0.69019,-0.3107,-0.2074,0.03027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.71407,-0.21787,-0.44606,-0.34541,-0.39093,-0.35771,-0.11813,-0.06588,0.14109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.07397,0.38525,-0.10195,-0.31009,-0.24481,-0.32103,-0.32513,-0.14624,-0.0978,0.08037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.27417,-0.28015,0.07733,-0.28893,-0.44384,-0.38918,-0.46318,-0.46301,-0.3024,-0.24619,-0.05965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.00449,-0.24589,-0.23277,-0.04761,-0.31371,-0.44245,-0.39033,-0.44523,-0.47115,-0.34359,-0.29117,-0.1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
