DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.04234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,1.15996,0.60621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.62732,1.06093,0.63512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.81875,0.8438,1.10551,0.73179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,1.86713,1.79627,1.85301,2.02705,1.70023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.346,1.34944,1.36118,1.37153,1.52834,1.34345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.7556,-0.55517,0.55459,0.66128,0.70882,0.87676,0.7612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.67712,-1.02968,-0.78829,0.08349,0.20456,0.25164,0.40878,0.33154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,1.07428,0.26548,-0.25951,-0.18293,0.498,0.56891,0.58367,0.70326,0.62495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.49485,0.91484,0.43709,-0.0178,0.06132,0.62813,0.67912,0.69653,0.7999,0.72264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-1.2634,-0.50416,-0.0564,-0.31516,-0.60676,-0.54991,-0.03979,0.01123,0.04792,0.15577,0.10084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.17643,-1.14078,-0.58153,-0.17214,-0.389,-0.67198,-0.60481,-0.11499,-0.06072,-0.0206,0.08042,0.0332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.7373,-0.55628,-1.18305,-0.67637,-0.29633,-0.50097,-0.75911,-0.71142,-0.25551,-0.2012,-0.16054,-0.06424,-0.10338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.64443,-0.95495,-0.71119,-1.22068,-0.74763,-0.37733,-0.56231,-0.81483,-0.76658,-0.33237,-0.27805,-0.23462,-0.14029,-0.17684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.20674,-0.36892,-0.73265,-0.60433,-1.13437,-0.71044,-0.35745,-0.54306,-0.79182,-0.74138,-0.31929,-0.26595,-0.22237,-0.1305,-0.16574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.26766,-0.18959,-0.51956,-0.80187,-0.6992,-1.13397,-0.73286,-0.40105,-0.57594,-0.80873,-0.76494,-0.3634,-0.31337,-0.27086,-0.18196,-0.21362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.34327,0.08703,0.04351,-0.32171,-0.60505,-0.58576,-1.05458,-0.68017,-0.35755,-0.54449,-0.77557,-0.73835,-0.3337,-0.28538,-0.2428,-0.15564,-0.18878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.06995,0.01005,-0.14357,-0.13915,-0.37264,-0.57965,-0.54741,-0.99261,-0.67739,-0.37562,-0.55461,-0.77377,-0.74322,-0.36211,-0.31253,-0.27146,-0.19103,-0.22077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,1.13463,0.81093,0.71958,0.58062,0.56251,0.36239,0.14735,0.04171,-0.54016,-0.31605,-0.0757,-0.27264,-0.47426,-0.44864,-0.09841,-0.05528,-0.02007,0.05113,0.02058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.65265,1.11335,0.84375,0.79779,0.69416,0.65907,0.49619,0.30319,0.1963,-0.3671,-0.17812,0.02984,-0.16163,-0.35374,-0.32841,-0.00244,0.03973,0.07023,0.13643,0.10378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,1.4107,1.23195,1.48286,1.25788,1.22392,1.1109,1.06783,0.91884,0.74341,0.59014,0.01301,0.13472,0.31567,0.11885,-0.06638,-0.04524,0.26027,0.29806,0.32296,0.38912,0.35138,,,,,,,,,,,,,,,,,,,,,,,,,,,
