DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-1.59624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.76479,-0.5992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.68976,1.5426,0.72207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,1.12395,1.43668,1.44041,1.08923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.59713,0.85387,1.06168,1.10269,0.96436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.15933,0.11662,0.28124,0.45262,0.49658,0.39984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,0.75634,0.46126,0.56038,0.64774,0.73201,0.74793,0.69072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,1.18351,1.27264,1.04347,1.09725,1.14125,1.20427,1.21266,1.16842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.32062,0.79299,0.97356,0.77562,0.85374,0.89462,0.95011,0.95818,0.92075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.8456,0.06635,0.9586,1.12465,0.94498,1.02474,1.05587,1.1055,1.11342,1.0785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-2.39697,-0.14016,-0.46804,0.59101,0.88408,0.71547,0.81919,0.86298,0.9193,0.92949,0.89263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.57275,-1.93357,-0.25413,-0.51428,0.53763,0.845,0.67508,0.78497,0.83096,0.88816,0.89847,0.86088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.42202,-0.63805,-1.77154,-0.30908,-0.52889,0.53143,0.82667,0.65379,0.76491,0.81283,0.86975,0.87967,0.84249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.59685,-0.71371,-0.78218,-1.71985,-0.37815,-0.56803,0.50625,0.8074,0.63451,0.74649,0.79566,0.85286,0.86275,0.82573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.44612,-0.65848,-0.80794,-0.83801,-1.62051,-0.43036,-0.60178,0.47348,0.78695,0.61779,0.73109,0.7809,0.8384,0.84826,0.81102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.35407,-0.5161,-0.66443,-0.78097,-0.86649,-1.52655,-0.52341,-0.65245,0.40934,0.73895,0.5784,0.6968,0.7492,0.80649,0.81603,0.77915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,-0.07882,-0.23284,-0.31492,-0.37583,-0.44588,-0.53056,-1.33099,-0.48587,-0.66033,0.37568,0.70216,0.5394,0.64317,0.69884,0.75714,0.76635,0.72734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.89102,0.66361,0.55286,0.49698,0.45827,0.43206,0.3625,-0.24754,0.06777,-0.21838,0.59309,0.86571,0.71648,0.79872,0.84239,0.89666,0.90441,0.86841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.1207,0.24308,0.15062,0.10426,0.07321,0.04755,0.02533,0.00414,-0.39117,-0.18089,-0.33751,0.3001,0.56077,0.43586,0.49716,0.54005,0.59083,0.59871,0.56684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.79749,0.39103,0.6316,0.53939,0.48247,0.45705,0.43332,0.41987,0.41496,0.11335,0.26626,0.0638,0.6376,0.83038,0.7308,0.79746,0.83407,0.88037,0.88595,0.85241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
