DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.65238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.02985,-0.4831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.88626,0.58436,0.09154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,1.02441,1.09133,0.91798,0.59128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.31605,0.47817,0.54394,0.53782,0.46489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.21259,0.11202,0.2168,0.25792,0.24071,0.20213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,0.38693,0.22538,0.16591,0.23311,0.26985,0.26001,0.22845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.02911,0.17435,0.10405,0.07065,0.12494,0.15474,0.14513,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.16656,-0.12111,0.04075,-0.01021,-0.0675,-0.01072,0.02042,0.01507,-0.00789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.95898,0.43195,0.36115,0.37522,0.26198,0.23887,0.28829,0.31355,0.30882,0.28651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.70389,0.53504,0.1198,0.167,0.21234,0.12143,0.0942,0.14505,0.17394,0.1705,0.14878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,1.70964,0.50287,0.93149,0.49907,0.40492,0.42292,0.30435,0.27862,0.32593,0.35282,0.3496,0.32811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.09198,1.60546,0.41489,0.87956,0.49638,0.42183,0.44054,0.32546,0.2995,0.34517,0.37238,0.37042,0.3495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.16699,-0.27096,1.53672,0.35887,0.85133,0.47226,0.4113,0.4316,0.32086,0.29599,0.34083,0.36798,0.366,0.3451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.30088,0.04944,-0.11748,1.35768,0.33893,0.82691,0.46506,0.40203,0.4318,0.32282,0.29875,0.34273,0.36984,0.36792,0.34751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.04628,0.07161,-0.06845,-0.16676,1.06256,0.23393,0.74078,0.41759,0.35996,0.40858,0.3112,0.28908,0.3337,0.36122,0.35977,0.33827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.6682,0.60454,0.59212,0.5695,0.54413,0.91656,0.55544,0.7994,0.56087,0.5085,0.49957,0.38627,0.35478,0.39809,0.4253,0.42432,0.40041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.45224,0.50298,0.46877,0.45925,0.43181,0.42086,0.68772,0.43915,0.66721,0.49832,0.47665,0.49217,0.42655,0.42402,0.4667,0.49264,0.49406,0.47598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.87283,-0.35108,-0.17695,-0.19256,-0.18099,-0.19576,-0.20243,0.06457,-0.11729,0.15077,0.02059,-0.04229,0.01486,0.03292,0.03787,0.08585,0.11861,0.12212,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.29893,-0.3384,-0.16236,-0.0454,-0.06897,-0.06566,-0.08054,-0.0874,0.12553,-0.01621,0.20692,0.07908,0.04905,0.08698,0.12068,0.13105,0.17218,0.19939,0.20051,0.18491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,-0.79514,-0.24821,-0.74724,-0.51031,-0.39779,-0.40756,-0.39821,-0.40525,-0.40959,-0.21564,-0.33814,-0.10609,-0.1996,-0.18132,-0.14339,-0.07484,-0.06491,-0.02135,0.00707,0.00885,-0.00792,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,-0.75369,-1.28513,-0.56967,-1.07424,-0.74024,-0.5967,-0.59767,-0.58435,-0.5874,-0.59111,-0.38196,-0.49591,-0.24051,-0.33143,-0.31106,-0.28651,-0.21877,-0.21029,-0.16367,-0.1327,-0.13071,-0.14755,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,1.40025,0.18653,-0.63554,-0.12869,-0.66972,-0.46971,-0.35204,-0.36258,-0.35278,-0.35829,-0.36235,-0.16875,-0.28368,-0.05427,-0.1516,-0.14758,-0.1194,-0.05961,-0.04998,-0.0055,0.02284,0.02405,0.00674,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,1.1238,1.55438,0.43081,-0.41624,-0.00592,-0.54348,-0.37611,-0.25951,-0.27119,-0.26153,-0.26701,-0.27125,-0.07427,-0.18978,0.0305,-0.06584,-0.07092,-0.04081,0.01471,0.01964,0.06431,0.09201,0.09315,0.07543,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-0.41685,0.85918,1.433,0.35056,-0.43883,-0.01237,-0.5478,-0.37101,-0.25079,-0.26294,-0.25304,-0.25806,-0.26195,-0.06461,-0.18399,0.03737,-0.05757,-0.06116,-0.03753,0.02356,0.02779,0.07496,0.10346,0.10414,0.08596,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,-0.56821,-0.68729,0.59352,1.31909,0.28799,-0.47405,-0.03905,-0.56701,-0.38577,-0.26476,-0.27722,-0.26712,-0.27218,-0.27601,-0.07923,-0.19707,0.02415,-0.07033,-0.07481,-0.05169,0.01166,0.01587,0.06384,0.09225,0.09295,0.07466,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-0.20205,-0.48687,-0.64172,0.38226,1.20451,0.23956,-0.4862,-0.07186,-0.58271,-0.39896,-0.27887,-0.29156,-0.28137,-0.28649,-0.28976,-0.09286,-0.21024,0.01329,-0.07921,-0.08442,-0.06018,0.00404,0.0059,0.05422,0.08263,0.0832,0.06502,,,,,,,,,,,,,,,,,,,,,
Apr1952,0.20004,-0.05407,-0.29641,-0.4441,0.28764,1.07806,0.19262,-0.4754,-0.09398,-0.59421,-0.4041,-0.28379,-0.29661,-0.28626,-0.29085,-0.29471,-0.09666,-0.21473,0.00976,-0.08408,-0.08848,-0.06651,-0.00131,0.00251,0.05215,0.08015,0.08091,0.06292,,,,,,,,,,,,,,,,,,,,
May1952,0.39013,0.35778,0.29242,0.23307,0.17328,0.40941,0.81864,0.27156,-0.31994,-0.02794,-0.54887,-0.40719,-0.30217,-0.31388,-0.30328,-0.30715,-0.31246,-0.10509,-0.20616,0.01314,-0.1012,-0.07314,-0.08124,-0.01423,-0.01975,0.02714,0.05552,0.05753,0.04106,,,,,,,,,,,,,,,,,,,
