DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.11108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.0803,-0.28009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.2622,0.90407,0.54369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,1.02195,1.26149,1.04651,0.79236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.60011,0.80555,1.03664,0.9273,0.79783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.43663,0.55276,0.72583,0.93782,0.86484,0.76482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.4118,-0.03254,0.22008,0.41751,0.63642,0.58007,0.49409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.70145,-0.76367,-0.44567,-0.17537,0.03987,0.26951,0.22294,0.16774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.11193,-0.60933,-0.67408,-0.44815,-0.19792,6e-05,0.20882,0.16606,0.11986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.2005,-0.29646,-0.79522,-0.82141,-0.59556,-0.34913,-0.15253,0.05503,0.02107,-0.01953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.12062,-0.34969,-0.3791,-0.81259,-0.90976,-0.69507,-0.43398,-0.20852,0.01412,-0.02369,-0.06215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.50915,0.04094,-0.17673,-0.24509,-0.59191,-0.72075,-0.57709,-0.34179,-0.13148,0.08153,0.04597,0.01412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.07849,0.35559,0.03791,-0.16427,-0.23094,-0.57429,-0.70841,-0.57092,-0.33897,-0.13567,0.07537,0.04188,0.01189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.64007,0.22278,0.35628,0.07727,-0.12016,-0.20265,-0.53144,-0.65338,-0.51972,-0.29495,-0.10167,0.10765,0.07433,0.04166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.06125,0.16021,0.00594,0.21785,-0.002,-0.16051,-0.24403,-0.54559,-0.66744,-0.54604,-0.34381,-0.16693,0.0379,0.01095,-0.01902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.45493,0.10014,0.25543,0.14003,0.24211,0.0519,-0.09766,-0.18322,-0.46513,-0.60345,-0.49593,-0.31011,-0.14266,0.05147,0.025,-8e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.58386,0.54233,0.36706,0.43854,0.37377,0.39932,0.22834,0.08175,-0.01787,-0.2765,-0.42962,-0.31793,-0.17614,-0.02765,0.14864,0.12525,0.10835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.81051,0.80431,0.75947,0.61687,0.6591,0.59548,0.53936,0.41145,0.26829,0.19827,-0.01288,-0.13829,-0.06588,0.04914,0.17702,0.32189,0.29348,0.27597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.80353,0.04267,0.26863,0.28967,0.17742,0.23816,0.19368,0.22762,0.14183,0.02416,-0.03328,-0.25187,-0.37042,-0.28584,-0.14146,-0.01384,0.12686,0.09469,0.08453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.08287,-0.60573,-0.08908,0.12541,0.17099,0.08281,0.12367,0.09674,0.13695,0.06533,-0.04382,-0.09973,-0.31584,-0.41948,-0.33248,-0.19962,-0.07847,0.05133,0.02061,0.00975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,-0.53221,-0.50341,-0.78045,-0.32918,-0.10028,-0.05109,-0.12183,-0.07932,-0.09337,-0.04058,-0.10392,-0.21862,-0.26893,-0.49487,-0.59359,-0.50654,-0.35128,-0.22619,-0.10448,-0.13086,-0.13485,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,-0.4319,-0.771,-0.82306,-1.00212,-0.56753,-0.32989,-0.26754,-0.31899,-0.27312,-0.28219,-0.21565,-0.22071,-0.31403,-0.35504,-0.56354,-0.65597,-0.58376,-0.44351,-0.32489,-0.20477,-0.23232,-0.23354,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,-0.09391,-0.44455,-0.6917,-0.81824,-1.07308,-0.65361,-0.40119,-0.31679,-0.36674,-0.32131,-0.32444,-0.27491,-0.27408,-0.38048,-0.42256,-0.63357,-0.72924,-0.65374,-0.52431,-0.41954,-0.29445,-0.32474,-0.32803,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,1.75578,1.40182,1.01501,0.71845,0.66605,0.32586,0.58622,0.72055,0.73182,0.64664,0.66643,0.63173,0.60781,0.51997,0.39953,0.31732,0.12159,-0.001,0.06479,0.17285,0.27248,0.406,0.36988,0.34585,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,0.54961,1.70948,1.3448,0.9979,0.73001,0.68959,0.37287,0.64322,0.76654,0.76952,0.68395,0.70155,0.66998,0.63943,0.54848,0.42737,0.34194,0.13993,0.01888,0.08769,0.18652,0.28527,0.41977,0.39185,0.36729,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.15276,0.28509,1.6496,1.26611,0.93827,0.67551,0.64302,0.34941,0.62356,0.74888,0.7476,0.66383,0.68218,0.64793,0.61879,0.52945,0.4107,0.31983,0.11787,0.00085,0.06753,0.16676,0.26225,0.39716,0.37012,0.34564,,,,,,,,,,,,,,,,,,,,,,
Mar1952,0.54473,0.34274,0.34689,1.53576,1.18241,0.89451,0.6622,0.63042,0.35624,0.61144,0.73249,0.73236,0.65554,0.6772,0.64538,0.62251,0.54252,0.4268,0.33805,0.145,0.03647,0.09618,0.19081,0.2804,0.41323,0.38569,0.362,,,,,,,,,,,,,,,,,,,,,
Apr1952,0.24589,0.30949,0.2683,0.3058,1.40756,1.08938,0.82497,0.60875,0.57891,0.31259,0.55762,0.67986,0.68477,0.61518,0.63712,0.60883,0.59209,0.52648,0.4198,0.33599,0.14689,0.04003,0.08922,0.17673,0.26321,0.39596,0.36905,0.34618,,,,,,,,,,,,,,,,,,,,
May1952,0.1604,0.13057,0.19076,0.19136,0.25097,1.21259,0.96309,0.74817,0.54602,0.50868,0.2689,0.50546,0.6148,0.62101,0.55994,0.58359,0.56414,0.5544,0.50442,0.40734,0.33083,0.15797,0.06472,0.101,0.1735,0.25338,0.38313,0.3586,0.33372,,,,,,,,,,,,,,,,,,,
Jun1952,0.20815,0.11665,0.10904,0.14395,0.15313,0.20511,1.10681,0.90313,0.69942,0.52449,0.49617,0.2909,0.47375,0.56171,0.5783,0.52511,0.5435,0.53137,0.54183,0.49431,0.40796,0.33105,0.16372,0.07081,0.10807,0.17252,0.24954,0.37338,0.34849,0.32131,,,,,,,,,,,,,,,,,,
Jul1952,1.57247,1.11379,0.92339,0.84257,0.81755,0.7717,0.77361,1.48276,1.22111,1.02943,0.87579,0.88002,0.69352,0.87395,0.9404,0.9404,0.88214,0.89003,0.85892,0.85041,0.76447,0.68181,0.6089,0.45928,0.3625,0.40132,0.48198,0.56458,0.68073,0.6583,0.62414,,,,,,,,,,,,,,,,,
Aug1952,1.28675,1.75741,1.47575,1.32811,1.27004,1.2043,1.14415,1.14336,1.73156,1.44148,1.26167,1.12999,1.16384,0.97936,1.14411,1.19074,1.18281,1.12966,1.13589,1.08916,1.0658,0.95669,0.88639,0.82704,0.68305,0.59086,0.63518,0.71966,0.8064,0.90555,0.88398,0.84887,,,,,,,,,,,,,,,,
Sep1952,0.90104,1.47985,1.7685,1.63374,1.52074,1.46007,1.40236,1.35029,1.3426,1.85898,1.61349,1.47549,1.34124,1.40234,1.21051,1.37528,1.39673,1.37405,1.33193,1.33671,1.27209,1.22132,1.09322,1.02727,0.97521,0.83938,0.74969,0.79417,0.8905,0.98544,1.07547,1.05566,1.0152,,,,,,,,,,,,,,,
Oct1952,1.53421,1.62738,2.07421,2.23568,2.09229,1.95934,1.85934,1.81016,1.75707,1.74638,2.22818,1.88615,1.76544,1.6315,1.69565,1.53553,1.67979,1.68264,1.65554,1.62701,1.63689,1.56337,1.51296,1.35019,1.31334,1.25282,1.14658,1.07022,1.13305,1.2365,1.33661,1.40508,1.38948,1.34286,,,,,,,,,,,,,,
Nov1952,-0.67935,0.57838,0.94825,1.53559,1.88105,1.79522,1.69245,1.59673,1.56395,1.52707,1.5101,2.06084,1.76637,1.67179,1.51442,1.55081,1.38076,1.53337,1.57992,1.58578,1.54293,1.55994,1.49219,1.44681,1.26037,1.21661,1.14029,1.00833,0.91305,0.97381,1.05888,1.14732,1.22877,1.20286,1.1557,,,,,,,,,,,,,
