DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.02657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.33738,0.1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.56672,0.41597,0.22465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.75073,0.70206,0.56448,0.41079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.30626,0.48104,0.49335,0.44686,0.38072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.10567,0.1457,0.30056,0.3444,0.31692,0.27101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,0.18854,0.12423,0.11506,0.22157,0.29619,0.26792,0.23002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.8287,-0.5329,-0.48269,-0.39113,-0.25031,-0.14248,-0.10703,-0.10876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.47326,-1.01519,-0.75133,-0.64125,-0.53438,-0.38535,-0.29017,-0.24201,-0.23256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.62545,0.2047,-0.24808,-0.25592,-0.26403,-0.21839,-0.12275,-0.06009,-0.03674,-0.04234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.47073,0.08646,-0.16974,-0.56074,-0.52047,-0.49344,-0.4469,-0.35721,-0.29716,-0.25884,-0.2479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.64405,0.06049,0.29722,0.09827,-0.26422,-0.29328,-0.29679,-0.26314,-0.1902,-0.13111,-0.1007,-0.08511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-1.61759,0.12324,-0.26706,-0.00846,-0.16055,-0.48513,-0.51531,-0.50201,-0.44823,-0.37026,-0.30647,-0.25953,-0.23981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.54971,-1.41201,-0.1271,-0.39269,-0.12418,-0.27119,-0.57689,-0.60016,-0.57566,-0.52308,-0.45163,-0.38682,-0.33792,-0.31784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-1.58109,-1.12898,-1.57242,-0.35041,-0.52421,-0.23714,-0.38544,-0.67368,-0.7042,-0.66879,-0.61891,-0.54849,-0.48855,-0.43818,-0.41721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.47594,-0.39487,-0.60646,-1.1266,-0.25817,-0.43186,-0.20211,-0.33971,-0.60544,-0.65465,-0.62721,-0.57532,-0.51427,-0.46256,-0.41398,-0.39639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.37335,0.38393,-0.05934,-0.25282,-0.69717,-0.14779,-0.31413,-0.13247,-0.25676,-0.51342,-0.57722,-0.5588,-0.52421,-0.46398,-0.418,-0.37273,-0.35752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.35061,-0.08519,-0.00466,-0.3065,-0.43486,-0.74998,-0.28928,-0.40859,-0.23474,-0.35175,-0.57815,-0.64071,-0.62301,-0.58356,-0.53291,-0.49075,-0.44309,-0.42703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.12782,-0.44424,-0.26185,-0.20665,-0.40796,-0.51127,-0.79252,-0.3542,-0.44801,-0.26066,-0.37701,-0.60778,-0.65355,-0.61425,-0.57966,-0.53248,-0.49032,-0.44984,-0.43777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.29221,0.06596,-0.22848,-0.16091,-0.12715,-0.30392,-0.39653,-0.64852,-0.31206,-0.40082,-0.23452,-0.35599,-0.58114,-0.61348,-0.57969,-0.54116,-0.49892,-0.45585,-0.41679,-0.40799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,-0.44729,-0.11545,-0.201,-0.40415,-0.32071,-0.26718,-0.43114,-0.50613,-0.7369,-0.43006,-0.52255,-0.34746,-0.46058,-0.66346,-0.69574,-0.65138,-0.61176,-0.57057,-0.52718,-0.49064,-0.48125,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,-1.70333,-1.60212,-1.23428,-1.23635,-1.16765,-1.03256,-0.94548,-1.07233,-1.09084,-1.26049,-0.90513,-0.95419,-0.74061,-0.84778,-1.01263,-1.05391,-1.00505,-0.9755,-0.92908,-0.88781,-0.8513,-0.84084,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,0.99632,-0.38725,-0.59682,-0.48368,-0.57716,-0.66047,-0.58162,-0.53749,-0.65307,-0.69633,-0.85607,-0.59301,-0.67615,-0.513,-0.61263,-0.78909,-0.82942,-0.78453,-0.75178,-0.71079,-0.66694,-0.63085,-0.6211,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,-0.11891,0.40569,-0.45523,-0.61194,-0.57761,-0.68884,-0.74985,-0.67737,-0.63759,-0.72797,-0.76289,-0.90575,-0.64918,-0.71119,-0.55453,-0.66108,-0.82579,-0.85748,-0.81706,-0.79541,-0.75792,-0.71838,-0.6891,-0.67962,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,0.12376,-0.09803,0.37505,-0.44918,-0.57735,-0.54203,-0.66489,-0.73379,-0.65491,-0.6161,-0.70481,-0.73696,-0.88256,-0.63262,-0.69909,-0.54651,-0.65017,-0.8089,-0.84776,-0.80599,-0.78788,-0.74943,-0.71154,-0.68714,-0.6764,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,-0.34714,-0.24309,-0.28264,0.22392,-0.50747,-0.63486,-0.60693,-0.71794,-0.77367,-0.69955,-0.66652,-0.74847,-0.77898,-0.91687,-0.67082,-0.73816,-0.59051,-0.69186,-0.84427,-0.8805,-0.84118,-0.82629,-0.78912,-0.75238,-0.7299,-0.72041,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-0.25449,-0.44051,-0.33666,-0.33111,0.15929,-0.50118,-0.63547,-0.61653,-0.732,-0.78005,-0.71278,-0.68068,-0.76204,-0.79159,-0.92441,-0.68745,-0.75844,-0.61253,-0.71378,-0.86143,-0.89931,-0.86474,-0.85336,-0.81684,-0.78179,-0.76206,-0.75284,,,,,,,,,,,,,,,,,,,,,
Apr1952,0.18278,-0.134,-0.33674,-0.26367,-0.31333,0.13607,-0.48747,-0.61232,-0.59241,-0.72038,-0.7688,-0.701,-0.67606,-0.75972,-0.78923,-0.91713,-0.69621,-0.77065,-0.63136,-0.72987,-0.8762,-0.91274,-0.8811,-0.87098,-0.83565,-0.80163,-0.78475,-0.7753,,,,,,,,,,,,,,,,,,,,
May1952,0.1615,0.07672,-0.08638,-0.22321,-0.19445,-0.26586,0.13138,-0.43611,-0.55364,-0.54595,-0.68169,-0.73298,-0.68199,-0.65592,-0.73679,-0.76534,-0.88502,-0.67346,-0.74492,-0.62187,-0.71786,-0.85414,-0.8907,-0.8624,-0.85927,-0.82545,-0.79508,-0.77844,-0.77142,,,,,,,,,,,,,,,,,,,
Jun1952,0.51414,0.31464,0.23164,0.10208,-0.04229,-0.03487,-0.15354,0.20727,-0.35116,-0.46175,-0.45143,-0.58423,-0.64262,-0.59072,-0.57539,-0.65589,-0.68155,-0.79792,-0.60749,-0.6788,-0.56497,-0.66713,-0.80516,-0.8365,-0.82082,-0.82008,-0.78298,-0.75143,-0.73816,-0.72931,,,,,,,,,,,,,,,,,,
Jul1952,-1.93403,-1.02788,-0.78747,-0.7563,-0.75949,-0.77515,-0.71449,-0.64402,-0.21222,-0.66731,-0.77685,-0.76284,-0.87073,-0.88829,-0.83799,-0.81716,-0.88868,-0.91432,-1.02631,-0.84209,-0.91006,-0.77632,-0.85895,-0.97661,-0.99749,-0.97864,-0.97157,-0.93939,-0.91095,-0.89549,-0.88841,,,,,,,,,,,,,,,,,
Aug1952,1.96924,0.95156,0.96944,0.79296,0.69403,0.58593,0.43859,0.42423,0.22495,0.49226,-0.01574,-0.13589,-0.15865,-0.25346,-0.30689,-0.26135,-0.25771,-0.33251,-0.36382,-0.48057,-0.34318,-0.40707,-0.30456,-0.40675,-0.53711,-0.5664,-0.55746,-0.55387,-0.51825,-0.48918,-0.47889,-0.47484,,,,,,,,,,,,,,,,
Sep1952,-0.77695,1.34715,0.52296,0.57714,0.44366,0.38053,0.30935,0.20028,0.20338,0.02198,0.29066,-0.18335,-0.29621,-0.30519,-0.40008,-0.43349,-0.38482,-0.37929,-0.44856,-0.47933,-0.59142,-0.46016,-0.52812,-0.40926,-0.50368,-0.62575,-0.65673,-0.64202,-0.63552,-0.60236,-0.57505,-0.56052,-0.55529,,,,,,,,,,,,,,,
