DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.92592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.29966,0.43782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.2497,0.59049,0.76211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.06567,0.91176,0.44295,0.65464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-0.18225,-0.27855,0.64627,0.29784,0.54746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.65457,0.13116,-0.0142,0.68049,0.3743,0.58877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.62615,-0.01416,-0.22091,-0.29266,0.51686,0.25129,0.50931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.5254,-0.8678,-0.31332,-0.47108,-0.53136,0.3541,0.13704,0.43108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,1.82192,1.30911,0.87283,0.94783,0.68757,0.52805,0.94338,0.63923,0.77667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.48626,1.01543,0.7149,0.34444,0.52002,0.34511,0.23342,0.73661,0.48488,0.65548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.04768,-0.37507,0.69036,0.46069,0.23053,0.3517,0.20302,0.15252,0.59537,0.36663,0.57012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-1.06371,-0.84574,-0.93904,-0.08403,-0.2003,-0.34897,-0.23234,-0.31603,-0.34704,0.1139,-0.01677,0.23786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.6222,-1.0219,-0.92045,-0.99111,-0.36617,-0.4545,-0.55709,-0.45007,-0.50364,-0.52927,-0.12363,-0.20891,0.03883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.39686,-0.70086,-0.96803,-0.892,-0.95447,-0.44047,-0.51649,-0.61108,-0.51536,-0.56758,-0.59431,-0.22981,-0.30583,-0.06198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.17703,-0.38851,-0.62532,-0.88119,-0.82223,-0.87945,-0.4267,-0.49831,-0.58372,-0.50039,-0.55384,-0.58077,-0.25827,-0.33163,-0.09992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.27758,-0.34402,-0.46497,-0.63701,-0.86357,-0.81276,-0.87073,-0.45331,-0.51873,-0.59967,-0.52362,-0.57384,-0.60078,-0.30085,-0.37224,-0.14382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,2.03365,1.44805,0.89969,0.47786,0.12087,-0.2249,-0.22946,-0.32437,0.02141,-0.04238,-0.11537,-0.06586,-0.12013,-0.14376,0.09261,0.01222,0.19351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-1.10657,1.3607,0.88821,0.52756,0.2228,-0.07806,-0.38352,-0.38273,-0.46391,-0.11905,-0.18169,-0.25323,-0.19988,-0.25579,-0.27868,-0.03775,-0.109,0.0925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.35439,-0.48695,1.29787,0.9348,0.60512,0.29431,-0.01507,-0.3407,-0.34222,-0.42936,-0.08371,-0.14877,-0.21948,-0.16741,-0.22137,-0.24472,-0.00386,-0.07427,0.12719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.04064,0.24945,-0.43201,1.15255,0.85752,0.56186,0.27854,-0.03,-0.36277,-0.35991,-0.4497,-0.09213,-0.15684,-0.22822,-0.17625,-0.23139,-0.2579,-0.01545,-0.08705,0.11281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.06821,-0.00783,0.1508,-0.45557,1.02561,0.78045,0.51957,0.24977,-0.05474,-0.36629,-0.36046,-0.45395,-0.09997,-0.16332,-0.23786,-0.1833,-0.23972,-0.26853,-0.02615,-0.10523,0.09392,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,-0.66198,-0.54663,-0.52872,-0.37244,-0.81472,0.62654,0.43288,0.25243,0.04391,-0.23774,-0.52207,-0.49919,-0.58933,-0.21648,-0.27803,-0.3555,-0.2974,-0.34543,-0.37724,-0.12747,-0.20514,0.00057,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,1.11715,0.46891,0.36791,0.31148,0.37967,0.01534,0.92892,0.79768,0.57141,0.32186,0.0292,-0.27839,-0.26447,-0.36007,-0.02171,-0.08155,-0.15942,-0.1097,-0.16381,-0.19493,0.02813,-0.05361,0.13327,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,0.41266,0.84748,0.48666,0.44979,0.40772,0.48208,0.2035,0.87288,0.76611,0.59186,0.3993,0.13272,-0.15495,-0.13859,-0.24102,0.06978,0.01507,-0.06231,-0.01724,-0.07625,-0.10267,0.10399,0.011,0.18832,,,,,,,,,,,,,,,,,,,,,,,,
