DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.15341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.57906,-0.26627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.12427,0.522,0.34305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.90814,1.05491,0.72322,0.56462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.39802,0.60565,0.80405,0.62123,0.52349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.52219,0.47812,0.58959,0.7426,0.59034,0.51398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.14375,0.07287,0.18616,0.3292,0.48545,0.35661,0.3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.3798,-0.51584,-0.24541,-0.12507,0.02218,0.1865,0.06722,0.02589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.23692,-0.161,-0.35933,-0.20832,-0.1182,0.05448,0.23017,0.11835,0.08978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.08101,-0.03136,-0.32996,-0.48891,-0.27312,-0.16315,0.00833,0.15113,0.04377,0.00398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.09241,-0.12865,-0.09442,-0.35348,-0.51125,-0.29101,-0.19089,-0.04684,0.10037,-0.00461,-0.04577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.15476,-0.01391,-0.17284,-0.13602,-0.33681,-0.48948,-0.31153,-0.1684,-0.03659,0.10601,0.0088,-0.0367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.13081,-0.04014,-0.10139,-0.23104,-0.19445,-0.3848,-0.51527,-0.32408,-0.166,-0.04263,0.0795,-0.00596,-0.05318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.24864,-0.05847,-0.03869,-0.09855,-0.22134,-0.18481,-0.36835,-0.48567,-0.30345,-0.1479,-0.02702,0.09117,0.0117,-0.03572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.52822,-0.30133,-0.34122,-0.21844,-0.2356,-0.30718,-0.2752,-0.46252,-0.57002,-0.38329,-0.21526,-0.0881,0.03617,-0.03782,-0.08512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.14045,-0.29294,-0.2165,-0.27028,-0.19866,-0.21995,-0.28694,-0.25308,-0.42799,-0.53901,-0.3707,-0.22571,-0.09918,0.01938,-0.0498,-0.0922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.80919,0.5785,0.3236,0.30284,0.17428,0.10225,0.04307,-0.07524,-0.03233,-0.20285,-0.30774,-0.14132,-0.04037,0.08114,0.19919,0.13614,0.09573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,1.19852,1.17701,0.96791,0.75069,0.70657,0.57461,0.46097,0.36437,0.231,0.27304,0.15216,0.09078,0.20494,0.25489,0.35616,0.45684,0.40533,0.36424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.64406,0.29011,0.58201,0.45578,0.27517,0.25287,0.16138,0.10169,0.04034,-0.04338,0.00335,-0.12796,-0.19857,-0.07056,-0.00406,0.09748,0.20239,0.15843,0.1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.53747,-0.92276,-0.16125,0.16842,0.07274,-0.08542,-0.09854,-0.16976,-0.17255,-0.19036,-0.24491,-0.20844,-0.34055,-0.43816,-0.32213,-0.20322,-0.0762,0.0283,-0.01382,-0.04227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,-0.21547,-0.69884,-1.00847,-0.39331,-0.06792,-0.12303,-0.25129,-0.24754,-0.28351,-0.26442,-0.26917,-0.31277,-0.28384,-0.43559,-0.5422,-0.40904,-0.3006,-0.17328,-0.07479,-0.11481,-0.13598,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,0.34961,-0.06333,-0.47078,-0.86973,-0.22102,0.0832,0.03586,-0.10345,-0.11796,-0.18226,-0.20119,-0.19849,-0.24939,-0.21372,-0.33098,-0.43416,-0.34063,-0.26608,-0.15129,-0.06391,-0.10552,-0.1339,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,0.16672,0.21422,-0.0805,-0.42673,-0.8579,-0.20706,0.08106,0.00648,-0.1268,-0.14035,-0.20781,-0.2366,-0.21888,-0.27989,-0.23262,-0.36206,-0.44435,-0.36169,-0.29252,-0.17923,-0.09789,-0.14188,-0.17162,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,1.82953,1.28646,1.02174,0.7674,0.52022,0.18767,0.62364,0.81985,0.72425,0.59371,0.56471,0.45993,0.35855,0.31372,0.18093,0.20118,0.08808,0.00923,0.09659,0.1421,0.24937,0.33551,0.29392,0.26414,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-0.35651,1.43156,1.03112,0.82236,0.60202,0.3932,0.0858,0.5265,0.72114,0.6311,0.50303,0.48174,0.38447,0.27888,0.24473,0.11905,0.14576,0.02859,-0.03647,0.0457,0.08778,0.19011,0.28199,0.24353,0.21597,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,-0.48783,-0.55341,1.18713,0.86,0.69895,0.49323,0.28991,-0.0025,0.43631,0.643,0.55975,0.43561,0.41853,0.3258,0.22649,0.20041,0.07477,0.10833,-0.01066,-0.07991,0.00065,0.04255,0.14477,0.23677,0.19918,0.17551,,,,,,,,,,,,,,,,,,,,,,
