DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,1.79571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.53137,1.43312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.79617,1.4363,1.7152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.13356,1.13579,0.98797,1.44289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-0.04445,-0.19137,0.62619,0.58957,1.02677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.39617,0.12069,0.00531,0.59164,0.57319,0.96726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.9277,-0.47413,-0.38754,-0.46151,0.23044,0.25006,0.67625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-1.08482,-1.50771,-1.17608,-0.95297,-0.9817,-0.18247,-0.10415,0.39721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,1.37127,0.57022,-0.08661,0.05008,-0.0075,-0.0725,0.42759,0.44209,0.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.38627,0.53542,0.08448,-0.34362,-0.22763,-0.29323,-0.34473,0.13267,0.17457,0.55881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.30839,-0.54803,0.27562,-0.12262,-0.47528,-0.3532,-0.41507,-0.47928,-0.04077,0.00194,0.39483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-1.64688,-1.28452,-1.16824,-0.40653,-0.68478,-0.96448,-0.87888,-0.88051,-0.91417,-0.5041,-0.44146,-0.03329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.40839,-1.33415,-1.21686,-1.14121,-0.47855,-0.72036,-0.93947,-0.85815,-0.86273,-0.90004,-0.52063,-0.45511,-0.07022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.32745,-0.50886,-1.28028,-1.19484,-1.12285,-0.51451,-0.74123,-0.94624,-0.87001,-0.87769,-0.91058,-0.55128,-0.48631,-0.11689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.48026,-0.6017,-0.61933,-1.26353,-1.17942,-1.0997,-0.54875,-0.75606,-0.94381,-0.8693,-0.88383,-0.91832,-0.57994,-0.51962,-0.16582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
