DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.33533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.46329,0.35972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.70075,0.55237,0.44686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.7466,0.75457,0.6314,0.54818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.48889,0.64296,0.66317,0.60746,0.58257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.2124,0.37814,0.55729,0.58254,0.56049,0.54813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,0.13362,0.23509,0.29119,0.493,0.53962,0.52839,0.50928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.78353,-0.54104,-0.44824,-0.11734,0.07605,0.20695,0.25065,0.23259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.37829,-1.01361,-0.76897,-0.66482,-0.37684,-0.15062,-0.01299,0.05239,0.06169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.66702,0.25485,-0.17775,-0.18164,-0.19594,-0.10111,0.05397,0.14165,0.2018,0.2203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.4092,0.10601,-0.12657,-0.4996,-0.45843,-0.40725,-0.34507,-0.21792,-0.15012,-0.0708,-0.02726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.83221,0.20748,0.4595,0.26599,-0.00447,-0.01085,-0.01235,0.03777,0.10429,0.15077,0.1926,0.20825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.65369,0.50703,0.01841,0.26088,0.09724,-0.14885,-0.15159,-0.14138,-0.07403,-0.00418,0.03813,0.08456,0.10459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.09291,-0.59577,0.3622,-0.04844,0.18302,0.02733,-0.20905,-0.20684,-0.18929,-0.11548,-0.0419,0.00488,0.05105,0.07084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.86819,-0.60097,-0.85072,0.12853,-0.17938,0.06273,-0.08036,-0.30827,-0.30362,-0.27283,-0.20632,-0.13415,-0.08795,-0.0466,-0.02259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.44557,-0.16731,-0.2782,-0.49714,0.14773,-0.10068,0.07919,-0.05093,-0.2671,-0.27232,-0.23741,-0.168,-0.10291,-0.06283,-0.02528,-0.00297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
