DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.42942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.75292,0.59181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.03451,1.00212,0.78415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,1.04771,1.17222,1.18382,0.99711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.53243,0.73797,0.85257,0.88715,0.86135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.35812,0.43191,0.6088,0.70744,0.74657,0.72968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,0.26827,0.24689,0.3735,0.52836,0.61219,0.6453,0.63734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.36614,-0.13473,-0.05891,0.1154,0.2694,0.34714,0.38273,0.38352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.2877,-0.54202,-0.23349,-0.12976,-0.00078,0.15468,0.22941,0.2598,0.25873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.8062,0.18562,-0.05548,0.08043,0.14746,0.28398,0.42065,0.48566,0.50957,0.50732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.33746,0.3864,0.02512,-0.19736,-0.09763,-0.01594,0.11701,0.25884,0.33288,0.36384,0.35765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,1.24557,0.58454,0.79491,0.51202,0.26512,0.29471,0.33628,0.4296,0.55713,0.61972,0.64921,0.64339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.42704,0.98231,0.43905,0.66579,0.43598,0.19456,0.23048,0.29083,0.39058,0.51969,0.58111,0.61028,0.60251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.52502,-0.02281,0.95906,0.45395,0.67253,0.45441,0.22307,0.25701,0.31426,0.41388,0.53999,0.59953,0.62697,0.61824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.324,0.34789,-0.01228,0.8869,0.44462,0.65416,0.4645,0.23864,0.26722,0.32266,0.42363,0.54673,0.60322,0.63172,0.62345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.10305,0.06899,0.12501,-0.09317,0.72806,0.36191,0.57324,0.40135,0.20248,0.23343,0.29568,0.39045,0.50968,0.56899,0.59829,0.58771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,1.02081,0.86737,0.84466,0.84873,0.69958,1.05514,0.71668,0.83088,0.67836,0.49743,0.53217,0.59861,0.65291,0.73997,0.79525,0.82004,0.81733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,1.25868,1.39951,1.28953,1.29269,1.30082,1.18669,1.4329,1.07109,1.10937,0.97801,0.85356,0.88471,0.93623,0.96077,1.03233,1.07777,1.09682,1.0974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.6298,1.14686,1.32969,1.24429,1.23962,1.25186,1.17899,1.33744,1.08283,1.11178,1.0381,0.91299,0.93593,0.98222,1.00591,1.07011,1.10969,1.12651,1.12664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.30727,0.17589,0.73091,0.99173,0.95326,0.94861,0.95621,0.89305,1.08246,0.87412,0.93804,0.88187,0.76726,0.81607,0.87179,0.90369,0.96918,1.00918,1.02357,1.01967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.323,-0.05185,0.34913,0.82629,1.02435,0.9914,0.9894,0.99521,0.93692,1.09624,0.91286,0.98472,0.92166,0.81704,0.84471,0.89003,0.91774,0.98381,1.02401,1.03599,1.03201,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,0.18003,0.14719,-0.05039,0.29626,0.75739,0.99492,0.96445,0.96391,0.97049,0.91796,1.07037,0.91195,0.98315,0.90774,0.80102,0.82085,0.86526,0.90939,0.97305,1.01468,1.02707,1.02141,,,,,,,,,,,,,,,,,,,,,,,,,,
