DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.32931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.92473,-0.31737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.24032,0.18201,0.23558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.82636,1.26213,0.34179,0.34177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-0.19176,0.32028,0.84809,0.19016,0.2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,1.05754,0.5286,0.71446,1.0597,0.47829,0.42613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,1.10563,1.31496,0.97274,1.05415,1.27276,0.80411,0.70168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.58725,0.98874,1.1415,0.94561,1.02938,1.17393,0.81635,0.74107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,1.82805,1.39162,1.42455,1.49521,1.31728,1.3856,1.46249,1.17838,1.07248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.60062,1.06539,1.01414,1.16178,1.25528,1.10491,1.167,1.27545,1.01037,0.9228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.2995,-0.17964,0.85855,0.84845,1.03358,1.14872,1.01982,1.07961,1.20266,0.96147,0.88327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.04978,0.00336,-0.28109,0.53026,0.61534,0.84074,0.9632,0.86064,0.91454,1.04127,0.83424,0.77343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.36958,-0.35562,-0.35629,-0.51095,0.20669,0.35007,0.60393,0.74219,0.65889,0.7073,0.84507,0.65662,0.6183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.5713,0.01219,-0.08672,-0.11754,-0.30718,0.27831,0.3939,0.61299,0.74305,0.67141,0.7215,0.84925,0.68095,0.65144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.10693,0.36086,-0.00183,-0.10067,-0.11325,-0.29628,0.22287,0.34406,0.55708,0.69317,0.62884,0.68195,0.80693,0.64443,0.61901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.40764,-0.30566,0.08931,-0.15245,-0.19931,-0.19842,-0.36452,0.12716,0.25502,0.46986,0.61686,0.5591,0.61609,0.74729,0.58715,0.56838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,1.38207,0.91042,0.62195,0.63672,0.27468,0.14395,0.11971,-0.05103,0.37583,0.45529,0.62805,0.75356,0.69331,0.74247,0.85918,0.70712,0.6916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.17858,0.935,0.6632,0.52655,0.54916,0.22851,0.1184,0.12063,-0.01494,0.37572,0.44845,0.61199,0.7283,0.67019,0.71739,0.83088,0.68903,0.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.79442,0.68082,1.06013,0.86236,0.74282,0.73182,0.40791,0.28811,0.27409,0.14248,0.49946,0.54871,0.69155,0.79435,0.73827,0.78228,0.88814,0.75701,0.74658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.40138,0.31097,0.2935,0.71237,0.57777,0.49074,0.50734,0.26185,0.17004,0.16966,0.06101,0.39444,0.45053,0.59739,0.7011,0.64954,0.69433,0.79868,0.67629,0.66959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.95094,0.34268,0.61548,0.55552,0.85916,0.74885,0.66287,0.66686,0.41739,0.32679,0.32418,0.21353,0.51714,0.55482,0.68586,0.78247,0.72625,0.76853,0.86347,0.74505,0.73774,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,0.15749,0.66673,0.28216,0.54892,0.50565,0.78391,0.67354,0.60969,0.6322,0.39402,0.31193,0.31144,0.20339,0.49587,0.53282,0.6618,0.75595,0.70148,0.74208,0.83582,0.71898,0.71445,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,-0.27482,-0.19383,0.32719,0.03306,0.29762,0.30773,0.59959,0.49915,0.44851,0.49262,0.26904,0.20218,0.20355,0.10783,0.40444,0.4487,0.58686,0.68331,0.62619,0.66781,0.76274,0.64888,0.63941,,,,,,,,,,,,,,,,,,,,,,,,,
