DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.63619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-1.23222,-0.24879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.59882,0.01667,0.34074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.7228,1.4749,0.24503,0.44969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-0.15097,0.42969,1.16841,0.18845,0.39392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,1.14862,0.6819,0.86148,1.38795,0.40773,0.55019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,1.2214,1.54107,1.18069,1.29528,1.65706,0.72736,0.79776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.32411,1.03688,1.31945,1.07558,1.21137,1.54979,0.7661,0.83378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,2.02379,1.71267,1.79966,1.85612,1.65777,1.78427,1.88646,1.2172,1.19128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.75665,1.20151,1.12242,1.33134,1.46288,1.31695,1.48349,1.75321,1.07126,1.06914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.36952,-0.35837,1.13475,1.08676,1.35227,1.49947,1.33858,1.46852,1.7556,1.04817,1.05959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.08233,-0.03868,-0.37507,0.60191,0.63956,0.90244,1.09667,0.97301,1.0757,1.41313,0.88365,0.93511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.62417,0.30778,0.29968,0.07866,0.69276,0.7471,0.91543,1.06305,0.9733,1.0441,1.34255,0.92475,0.96923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.39267,0.57742,0.32999,0.34615,0.15797,0.62882,0.67734,0.8181,0.95514,0.89259,0.96988,1.25737,0.8948,0.94118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.3405,0.07122,0.36532,0.17009,0.18737,0.03605,0.46285,0.51396,0.65412,0.79122,0.73778,0.81155,1.10284,0.76994,0.83462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.467,0.0112,0.18727,0.40538,0.22645,0.24942,0.09781,0.48409,0.52697,0.65841,0.79196,0.73805,0.8139,1.09918,0.77083,0.84392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,-0.85297,-0.11792,-0.3144,-0.01618,0.24432,0.08711,0.11735,-0.01278,0.36036,0.40681,0.53687,0.66712,0.61574,0.68801,0.97111,0.65741,0.74757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.06641,-0.72619,-0.22732,-0.32862,-0.09208,0.18675,0.04473,0.07869,-0.0475,0.31717,0.36394,0.49532,0.62535,0.57548,0.64835,0.92832,0.62649,0.72166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.2857,-0.269,-0.6996,-0.34408,-0.41822,-0.16016,0.15584,0.02657,0.05891,-0.06729,0.30227,0.34636,0.48217,0.61001,0.56072,0.63232,0.90996,0.61403,0.71004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-1.43262,-1.18575,-1.04229,-1.23311,-0.86509,-0.83377,-0.48391,-0.11678,-0.20613,-0.15449,-0.26371,0.10159,0.1477,0.28717,0.41313,0.37263,0.44323,0.72112,0.44158,0.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,1.38482,0.11955,-0.02452,-0.05827,-0.36049,-0.2103,-0.26443,-0.0703,0.18144,0.07487,0.10429,-0.01483,0.3288,0.3619,0.49459,0.61168,0.56863,0.63234,0.89466,0.60782,0.71051,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,0.89175,1.45347,0.45883,0.28237,0.22534,-0.05516,0.02172,-0.08105,0.09286,0.30576,0.20083,0.21883,0.09518,0.43097,0.46113,0.59177,0.7047,0.65845,0.71995,0.97546,0.68771,0.78032,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,-0.35639,0.17315,0.97758,0.12192,-0.00433,-0.01932,-0.28499,-0.17601,-0.24506,-0.03644,0.20697,0.12357,0.1486,0.03272,0.35814,0.38506,0.51665,0.62438,0.58054,0.6406,0.88835,0.61584,0.71787,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,1.16156,0.74351,0.9232,1.31416,0.70681,0.55494,0.51248,0.29027,0.33546,0.21821,0.33954,0.47886,0.39732,0.4139,0.29993,0.59238,0.61197,0.73061,0.82352,0.78268,0.83806,1.06316,0.79009,0.87195,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-0.82371,-0.006,-0.22009,0.01205,0.39785,0.0729,0.00877,-0.00306,-0.15765,-0.09295,-0.16112,-0.03026,0.14878,0.08786,0.11925,0.02888,0.29815,0.31585,0.44211,0.53661,0.50051,0.56197,0.79212,0.5376,0.66096,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.39217,-0.3601,0.10312,-0.03853,0.10741,0.39549,0.14123,0.07682,0.06582,-0.06981,-0.02213,-0.08055,0.04145,0.20596,0.1504,0.18454,0.09479,0.34458,0.36233,0.48167,0.56953,0.53658,0.59407,0.8041,0.5686,0.68397,,,,,,,,,,,,,,,,,,,,,,
Mar1952,0.31814,0.36603,-0.23672,0.13013,0.00185,0.12856,0.38094,0.15027,0.08655,0.07568,-0.04215,-0.00018,-0.04953,0.06429,0.22174,0.17125,0.20912,0.12292,0.35527,0.37445,0.48575,0.56983,0.54014,0.59577,0.79162,0.57205,0.68395,,,,,,,,,,,,,,,,,,,,,
Apr1952,0.33753,0.33003,0.37568,-0.15842,0.16054,0.05313,0.15717,0.38328,0.1632,0.09803,0.08391,-0.0321,0.01151,-0.03613,0.07446,0.23327,0.19631,0.23253,0.14727,0.37174,0.39195,0.49892,0.58163,0.55533,0.6092,0.79852,0.58671,0.69962,,,,,,,,,,,,,,,,,,,,
