DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.02372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.03839,-0.05245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.4674,1.06871,0.64665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,1.09754,1.36976,1.23532,0.96416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.52321,0.7213,0.91632,0.88819,0.81214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.38452,0.43709,0.59624,0.76522,0.74738,0.6946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,0.08056,0.16803,0.2791,0.41202,0.54077,0.53024,0.49271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.23669,-0.176,-0.07609,0.05213,0.18794,0.30177,0.29406,0.27557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.10299,-0.30969,-0.18598,-0.07318,0.02486,0.14577,0.24508,0.23881,0.22591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.25606,-0.09172,-0.18725,-0.15623,-0.04691,0.06995,0.1919,0.29156,0.28493,0.27174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.0383,0.00778,-0.07557,-0.21876,-0.22288,-0.10636,0.01668,0.1451,0.25095,0.24309,0.23109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.83966,0.3512,0.23578,0.15585,-0.02295,-0.06993,0.03204,0.15146,0.27499,0.37029,0.36499,0.35114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.10557,0.61817,0.27315,0.17622,0.14399,-0.04403,-0.08994,0.02631,0.15169,0.27028,0.36018,0.35352,0.33873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.28202,-0.01019,0.54941,0.25714,0.17169,0.15094,-0.02993,-0.07686,0.03975,0.16268,0.27855,0.36818,0.36079,0.3452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.29982,0.24971,-0.00236,0.51201,0.24531,0.17181,0.17303,-0.01668,-0.06741,0.04752,0.17116,0.28658,0.3749,0.36806,0.35477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
