DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.7974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-1.47034,-0.12533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.79448,0.39651,0.62626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.99389,1.71383,0.65211,0.75365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-0.19039,0.47604,1.18784,0.47119,0.60963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,1.02654,0.4991,0.80214,1.31973,0.7069,0.77464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,1.10456,1.43405,0.93901,1.11373,1.56324,1.00826,1.03826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.26538,0.95703,1.22018,0.91168,1.10418,1.52781,1.00088,1.05628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,1.91327,1.5112,1.62755,1.65262,1.43114,1.53724,1.79738,1.38403,1.40482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.65982,0.90238,0.91345,1.15548,1.26751,1.06785,1.1945,1.52049,1.14091,1.20408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.41884,-0.27019,0.83841,0.83681,1.06398,1.20964,1.01856,1.12445,1.4276,1.09964,1.15933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.04673,0.0428,-0.33208,0.5566,0.59357,0.82407,1.00001,0.8477,0.95496,1.23645,0.96027,1.02882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.60121,-0.52735,-0.3823,-0.54311,0.18603,0.27287,0.49139,0.68105,0.56187,0.66977,0.94754,0.71867,0.79729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.31317,-0.63988,-0.60721,-0.47635,-0.61835,0.02039,0.11953,0.32229,0.51783,0.41794,0.53678,0.82383,0.60808,0.69292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.47497,-0.52996,-0.70405,-0.66966,-0.54359,-0.65438,-0.08611,0.0097,0.20364,0.39307,0.31101,0.42988,0.71744,0.5167,0.60617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.43384,-0.16183,-0.30121,-0.52645,-0.54453,-0.44294,-0.56931,-0.06116,0.02076,0.19741,0.3739,0.29547,0.41372,0.69586,0.50283,0.59801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,-0.29439,0.02153,-0.29388,-0.36247,-0.5664,-0.58439,-0.48649,-0.59705,-0.12983,-0.0571,0.11203,0.27691,0.20029,0.31723,0.59444,0.41247,0.51475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
