DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.12854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.12125,0.03644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.8906,0.45172,0.25907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,1.24899,1.08923,0.6407,0.40006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.63442,1.03072,1.04435,0.70205,0.44937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.29631,0.593,0.97813,1.03169,0.73286,0.48924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,0.30032,0.4809,0.67182,0.98105,1.04053,0.76834,0.51657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.84538,0.85842,0.7725,0.89392,1.18982,1.19577,0.93445,0.63949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.01498,0.67243,0.59461,0.65665,0.75446,1.06442,1.14155,0.91368,0.63421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.1188,0.01442,0.49925,0.43914,0.56321,0.6841,0.97055,1.06886,0.84111,0.59524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.16177,-0.05262,-0.05794,0.34252,0.31293,0.42697,0.50632,0.78651,0.90365,0.74538,0.53815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.42338,0.22481,0.20386,0.20458,0.42785,0.42205,0.44489,0.5013,0.681,0.79978,0.69797,0.56627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.3121,0.41973,0.31792,0.2923,0.28434,0.44319,0.4459,0.47789,0.50545,0.61962,0.71181,0.63731,0.56588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,1.67076,1.08013,0.95108,0.89667,0.8596,0.83777,0.92103,0.914,0.90634,0.92864,1.01338,1.08248,1.04042,0.93373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.32271,1.22206,0.85081,0.78095,0.72463,0.69307,0.67899,0.76982,0.76912,0.76624,0.78512,0.86747,0.93852,0.89565,0.81681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.03855,-0.3068,1.09243,0.78735,0.73497,0.67761,0.64808,0.63774,0.72768,0.72852,0.72836,0.7466,0.82601,0.8945,0.85159,0.78083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.59958,0.355,-0.02728,1.08662,0.80094,0.74681,0.6945,0.66767,0.65757,0.74118,0.74042,0.73944,0.75686,0.83203,0.89576,0.85322,0.78669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-1.56868,-0.75003,-0.67544,-0.72556,0.72943,0.57458,0.57234,0.51228,0.48449,0.47942,0.57257,0.57547,0.58537,0.60124,0.68102,0.7447,0.69426,0.63631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,1.20231,-0.20024,0.18407,0.13709,-0.17947,0.96393,0.73636,0.70811,0.65342,0.62849,0.61862,0.70248,0.70383,0.7091,0.72158,0.79897,0.86159,0.81775,0.74759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-1.40589,-0.20854,-1.11773,-0.66838,-0.65034,-0.74112,0.66594,0.54835,0.56634,0.50485,0.47858,0.47313,0.56483,0.56748,0.58294,0.59545,0.67454,0.73699,0.68967,0.62748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,1.81207,0.12451,0.81846,-0.11602,0.11369,0.12717,-0.13704,0.97562,0.76153,0.74179,0.69042,0.6669,0.65447,0.7365,0.73597,0.74199,0.75214,0.82754,0.8897,0.84927,0.77372,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,0.7548,1.44985,0.58249,0.9987,0.2527,0.41374,0.41482,0.11694,1.05495,0.82981,0.79544,0.74111,0.72067,0.70674,0.78596,0.78335,0.78424,0.79537,0.87367,0.94252,0.91074,0.84005,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,-0.38654,0.19561,0.80448,0.26859,0.60808,0.05256,0.16019,0.16503,-0.08205,0.89723,0.7264,0.72014,0.67261,0.65579,0.64214,0.72105,0.71949,0.72427,0.73866,0.8196,0.89179,0.85782,0.80316,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,0.75481,0.44592,0.60871,0.9175,0.62143,0.81251,0.4379,0.48692,0.46737,0.28294,0.99102,0.85933,0.86248,0.82486,0.81847,0.80153,0.8601,0.86086,0.85409,0.86969,0.95144,1.03348,1.01818,0.96172,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-1.29191,-0.28591,-0.46671,-0.28472,0.03249,-0.18314,0.0149,-0.24543,-0.19243,-0.21826,-0.33775,0.28518,0.33531,0.40321,0.3581,0.34629,0.35279,0.41657,0.43037,0.44299,0.45721,0.5421,0.61086,0.57498,0.53563,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.05497,-0.94687,-0.28963,-0.42656,-0.30116,-0.0351,-0.20048,-0.03744,-0.25584,-0.20624,-0.23041,-0.33359,0.19992,0.25744,0.3553,0.30837,0.29226,0.30233,0.36325,0.37933,0.39354,0.40939,0.48793,0.55251,0.51386,0.48486,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-0.58759,-0.30892,-0.97761,-0.39819,-0.52297,-0.41291,-0.17361,-0.32707,-0.17199,-0.36896,-0.32159,-0.34161,-0.44076,0.05375,0.12813,0.23726,0.1891,0.17392,0.18479,0.24868,0.26534,0.28281,0.30244,0.38069,0.44584,0.40962,0.39389,,,,,,,,,,,,,,,,,,,,,
Apr1952,0.55677,-0.203,-0.17628,-0.83565,-0.32692,-0.441,-0.34261,-0.11846,-0.26363,-0.12001,-0.30647,-0.2654,-0.28435,-0.38099,0.08788,0.15313,0.25486,0.20818,0.19131,0.19949,0.26295,0.27882,0.29354,0.31399,0.3905,0.45576,0.42015,0.40831,,,,,,,,,,,,,,,,,,,,
May1952,1.21436,1.1201,0.40347,0.21938,-0.53903,-0.13249,-0.2474,-0.15753,0.05065,-0.09037,0.03827,-0.14359,-0.1083,-0.12862,-0.23053,0.21166,0.25863,0.34657,0.30368,0.28672,0.29377,0.35388,0.36838,0.3803,0.40022,0.47421,0.53761,0.5056,0.4867,,,,,,,,,,,,,,,,,,,
