DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.51146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.73102,-0.08379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.13222,0.12333,0.34923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.59111,1.11249,0.2128,0.39029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.06342,0.2786,0.86566,0.13603,0.30988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,1.15819,0.66238,0.69449,1.06354,0.36145,0.45263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,1.03483,1.2654,0.93202,0.95921,1.23151,0.55707,0.58924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.37795,0.90591,1.18491,0.94194,0.97668,1.19708,0.55669,0.59945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,1.85623,1.77552,1.71737,1.7647,1.5264,1.50409,1.53368,0.95225,0.87991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.41607,1.04639,1.03823,1.20402,1.35093,1.19833,1.20446,1.32209,0.83261,0.79645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.13253,-0.18311,0.72391,0.70223,0.92934,1.10263,1.01246,1.0229,1.19785,0.76353,0.74543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.15603,-0.16741,-0.33509,0.2737,0.30976,0.54121,0.735,0.68763,0.7102,0.92849,0.59313,0.61373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.49498,-0.57085,-0.53821,-0.58986,-0.14998,-0.09022,0.11877,0.29918,0.27832,0.29711,0.55391,0.29922,0.35415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.09766,-0.335,-0.46184,-0.43433,-0.48528,-0.12837,-0.08168,0.0784,0.23131,0.21086,0.23623,0.4669,0.25246,0.32281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.03172,-0.0232,-0.2962,-0.41936,-0.3853,-0.4404,-0.1255,-0.08008,0.05703,0.18978,0.17329,0.19708,0.40904,0.2109,0.27877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.09748,-0.19911,-0.12807,-0.34768,-0.45698,-0.42402,-0.47135,-0.16806,-0.12439,0.00789,0.13795,0.12348,0.1493,0.3587,0.16199,0.23619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,1.54263,1.02732,0.57739,0.34321,-0.01295,-0.17953,-0.15574,-0.22526,0.0574,0.09606,0.20671,0.32494,0.30312,0.32941,0.51981,0.32511,0.38797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.73775,0.84717,0.49245,0.28683,0.15604,-0.13309,-0.26942,-0.24309,-0.30075,-0.02471,0.01382,0.1259,0.24245,0.22181,0.24838,0.44115,0.25623,0.32996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.26778,-0.66642,0.52295,0.26973,0.17184,0.08997,-0.19141,-0.31685,-0.2883,-0.34184,-0.06892,-0.03186,0.08245,0.20252,0.18178,0.20805,0.40164,0.2221,0.29972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-1.0862,-1.01142,-1.14597,0.07727,-0.11885,-0.12517,-0.14495,-0.33869,-0.44355,-0.3988,-0.44262,-0.1757,-0.13794,-0.02513,0.09793,0.08254,0.11009,0.30678,0.13559,0.22356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.14067,-0.73157,-0.75146,-0.97269,0.08801,-0.0675,-0.09308,-0.12734,-0.32535,-0.42607,-0.38839,-0.42853,-0.16697,-0.13456,-0.01952,0.10154,0.08633,0.11283,0.30649,0.13182,0.22237,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,0.14027,0.13399,-0.50487,-0.50793,-0.73198,0.12017,-0.02899,-0.04506,-0.066,-0.29495,-0.4002,-0.3604,-0.40555,-0.14862,-0.12067,-0.00979,0.11085,0.09478,0.12159,0.31053,0.13711,0.22794,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,-0.43788,-0.34085,-0.29741,-0.6663,-0.69504,-0.8117,-0.1553,-0.24977,-0.24249,-0.2254,-0.40939,-0.49777,-0.45348,-0.48893,-0.24503,-0.21816,-0.11223,0.00868,-0.00364,0.02486,0.21747,0.05918,0.15196,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,0.88204,0.38663,0.30562,0.25794,-0.00718,-0.02219,-0.13192,0.28556,0.18312,0.14612,0.10801,-0.14358,-0.23597,-0.20881,-0.25935,-0.03181,-0.01076,0.08194,0.19808,0.17654,0.20828,0.38195,0.22242,0.31551,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-1.52972,-0.52258,-0.6821,-0.61322,-0.58109,-0.71645,-0.69596,-0.76883,-0.41913,-0.48316,-0.47491,-0.43279,-0.60238,-0.63588,-0.59124,-0.62752,-0.41512,-0.39383,-0.30505,-0.19344,-0.21219,-0.17991,-0.00985,-0.15075,-0.02686,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,1.00266,-0.32667,0.0187,-0.14632,-0.13913,-0.13248,-0.26162,-0.2658,-0.33687,-0.06613,-0.13084,-0.13959,-0.12963,-0.30586,-0.36147,-0.33416,-0.38362,-0.18481,-0.17236,-0.09497,0.00748,-0.01284,0.01511,0.16749,0.02897,0.14853,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-1.08649,0.27976,-0.5899,-0.2273,-0.33801,-0.32169,-0.30992,-0.41736,-0.42135,-0.48607,-0.23778,-0.29136,-0.30107,-0.28968,-0.44171,-0.48404,-0.45126,-0.50097,-0.30985,-0.29635,-0.22602,-0.12886,-0.14774,-0.118,0.02428,-0.10216,0.02258,,,,,,,,,,,,,,,,,,,,,
Apr1952,1.05057,-0.16557,0.51775,-0.32888,-0.05741,-0.17675,-0.17129,-0.16355,-0.27061,-0.28205,-0.34953,-0.11263,-0.16735,-0.17974,-0.17731,-0.33263,-0.38095,-0.34862,-0.40083,-0.21485,-0.202,-0.13538,-0.04,-0.05564,-0.0284,0.10923,-0.01851,0.10256,,,,,,,,,,,,,,,,,,,,
May1952,-0.91719,0.17641,-0.51289,0.22237,-0.51501,-0.22471,-0.31312,-0.30307,-0.29246,-0.38955,-0.40076,-0.4591,-0.23519,-0.28173,-0.29143,-0.2884,-0.42364,-0.45852,-0.4267,-0.47596,-0.29326,-0.27825,-0.21253,-0.11983,-0.13333,-0.10565,0.02978,-0.09644,0.02326,,,,,,,,,,,,,,,,,,,
Jun1952,0.82187,-0.11665,0.43664,-0.22173,0.35126,-0.37641,-0.1226,-0.2177,-0.21114,-0.20246,-0.29936,-0.31348,-0.37404,-0.15932,-0.20642,-0.21701,-0.21347,-0.34851,-0.38646,-0.36026,-0.41164,-0.23308,-0.21897,-0.15351,-0.06287,-0.07532,-0.04811,0.08662,-0.03735,0.07515,,,,,,,,,,,,,,,,,,
Jul1952,2.15697,1.85936,1.27205,1.49689,0.72556,0.95793,0.12267,0.29704,0.17188,0.153,0.147,0.04038,0.01388,-0.05296,0.1515,0.0992,0.07945,0.0765,-0.07646,-0.12572,-0.11016,-0.16559,0.006,0.0162,0.08067,0.1687,0.15284,0.17738,0.30593,0.18047,0.27769,,,,,,,,,,,,,,,,,
Aug1952,0.72764,2.09874,1.82273,1.3277,1.54879,0.81324,1.00651,0.20546,0.36091,0.23997,0.21734,0.21065,0.10585,0.07424,0.00868,0.20977,0.15811,0.13639,0.13636,-0.01756,-0.07116,-0.05756,-0.11196,0.05675,0.06589,0.12996,0.21724,0.20197,0.2267,0.3547,0.23204,0.32549,,,,,,,,,,,,,,,,
Sep1952,1.6324,1.72904,2.30675,2.1273,1.7105,1.82534,1.16263,1.27463,0.46914,0.6037,0.46745,0.43557,0.42063,0.30967,0.27419,0.20475,0.39457,0.343,0.31472,0.30333,0.14449,0.082,0.09054,0.036,0.19926,0.20682,0.26969,0.35413,0.33904,0.3627,0.48513,0.36467,0.44897,,,,,,,,,,,,,,,
Oct1952,1.93533,2.08428,2.25751,2.31847,2.20656,1.96353,2.08354,1.5323,1.57668,0.86372,0.96575,0.82149,0.77056,0.74909,0.63981,0.59164,0.51993,0.68636,0.63904,0.60038,0.58002,0.41269,0.33474,0.33137,0.27465,0.42876,0.43406,0.49293,0.57096,0.55473,0.57647,0.69048,0.57086,0.63635,,,,,,,,,,,,,,
Nov1952,-1.14103,0.64796,1.18039,1.25182,1.79275,1.71332,1.4811,1.58798,1.1511,1.27335,0.5925,0.72928,0.59523,0.55682,0.53342,0.42373,0.38257,0.31784,0.49633,0.44866,0.41876,0.4136,0.2539,0.18405,0.18333,0.12912,0.28145,0.28944,0.34926,0.43164,0.41807,0.44157,0.55694,0.44554,0.52024,,,,,,,,,,,,,
Dec1952,1.04739,0.22451,1.00468,1.33667,1.39085,1.7267,1.67884,1.49859,1.59615,1.25595,1.37726,0.80378,0.9449,0.81973,0.77447,0.74774,0.6456,0.5991,0.53724,0.69645,0.65618,0.61665,0.60635,0.45442,0.37278,0.36775,0.3122,0.45861,0.46508,0.52206,0.59912,0.58569,0.60999,0.71475,0.60543,0.6638,,,,,,,,,,,,
