DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.50221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.23311,0.11155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.08711,0.58279,0.54135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.85079,0.98061,0.66746,0.6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.38331,0.55609,0.7389,0.5826,0.54634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.41449,0.37452,0.46702,0.63871,0.51716,0.49458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.36278,0.06538,0.12243,0.24867,0.43258,0.33885,0.34746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.53107,-0.73156,-0.37016,-0.19033,-0.00433,0.19194,0.12083,0.15723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.38954,-0.16355,-0.42455,-0.19176,-0.07268,0.09906,0.27301,0.19741,0.23027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.19075,-0.03343,-0.31564,-0.5267,-0.2921,-0.19493,-0.03959,0.13342,0.05702,0.08566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.09066,-0.21602,-0.09832,-0.32413,-0.49263,-0.31061,-0.24561,-0.12355,0.03695,-0.02885,-0.00537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.06661,-0.2545,-0.30765,-0.20226,-0.37643,-0.48889,-0.34322,-0.26391,-0.15868,-0.01325,-0.07001,-0.05953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.03685,-0.11922,-0.25228,-0.30676,-0.20989,-0.37546,-0.45573,-0.31893,-0.23649,-0.14841,-0.01895,-0.06643,-0.0582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.02643,-0.15422,-0.16061,-0.25076,-0.31001,-0.21579,-0.37267,-0.45525,-0.32945,-0.24574,-0.16251,-0.03859,-0.08062,-0.06952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.32884,-0.30668,-0.33018,-0.25065,-0.32045,-0.35428,-0.27612,-0.41977,-0.49887,-0.3875,-0.30587,-0.22315,-0.09931,-0.13588,-0.11908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.18472,-0.28622,-0.28727,-0.31615,-0.27205,-0.31438,-0.35008,-0.2666,-0.40406,-0.48603,-0.37601,-0.30129,-0.2208,-0.10454,-0.1389,-0.11616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,1.1897,0.92806,0.6596,0.55405,0.38839,0.20735,0.10141,-0.00311,0.05528,-0.07438,-0.16309,-0.05919,-0.00981,0.05786,0.16279,0.13078,0.15105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.45318,0.52525,0.37564,0.19425,0.15661,0.04695,-0.03892,-0.08439,-0.14466,-0.0819,-0.19332,-0.27796,-0.18158,-0.12873,-0.05838,0.04062,0.0131,0.03816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.5166,-0.75279,0.19163,0.10215,-0.04512,-0.06226,-0.13221,-0.18468,-0.22099,-0.27059,-0.19874,-0.31438,-0.39111,-0.29515,-0.23707,-0.16631,-0.06237,-0.08793,-0.05547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-1.08705,-1.12835,-1.29586,-0.34203,-0.36033,-0.47013,-0.45107,-0.48062,-0.45855,-0.46459,-0.47342,-0.39776,-0.51635,-0.59284,-0.50609,-0.43119,-0.35642,-0.24852,-0.27328,-0.24714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.73782,-0.21617,-0.5491,-0.80598,-0.03756,-0.06206,-0.19982,-0.20606,-0.24684,-0.29329,-0.3209,-0.35685,-0.28663,-0.40478,-0.47879,-0.39333,-0.32773,-0.25643,-0.15531,-0.18141,-0.15591,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,-0.33907,0.10287,-0.45962,-0.70982,-0.89079,-0.23308,-0.24408,-0.34317,-0.35677,-0.39544,-0.39179,-0.39212,-0.44083,-0.37269,-0.48026,-0.54422,-0.4823,-0.42507,-0.36059,-0.27137,-0.29853,-0.27996,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,0.30211,-0.09154,0.18644,-0.24781,-0.47734,-0.63754,-0.14135,-0.17228,-0.26665,-0.28634,-0.33509,-0.34531,-0.34846,-0.41565,-0.35283,-0.45913,-0.50965,-0.46079,-0.41086,-0.3516,-0.2675,-0.29251,-0.27559,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,1.07965,0.80199,0.36718,0.54683,0.21378,0.03128,-0.12795,0.25406,0.21263,0.11783,0.0814,0.00712,-0.07078,-0.08384,-0.18363,-0.14014,-0.2345,-0.29095,-0.24699,-0.21773,-0.16502,-0.08422,-0.10676,-0.08577,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-0.05704,0.77704,0.6122,0.27624,0.44331,0.1449,0.00731,-0.12769,0.22802,0.18394,0.097,0.06928,0.00057,-0.08708,-0.09991,-0.21058,-0.15974,-0.25932,-0.3001,-0.26278,-0.23344,-0.18619,-0.10097,-0.12179,-0.09701,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.33014,-0.00629,0.70412,0.58357,0.27317,0.43096,0.15129,0.01158,-0.11585,0.22176,0.18111,0.10061,0.07653,0.01439,-0.07048,-0.08582,-0.1961,-0.14965,-0.24643,-0.28901,-0.25583,-0.22833,-0.18383,-0.10035,-0.12177,-0.09521,,,,,,,,,,,,,,,,,,,,,,
Mar1952,0.21192,0.19163,0.00198,0.62718,0.52041,0.24656,0.38829,0.12905,-0.0041,-0.12542,0.19478,0.16193,0.09041,0.07037,0.01557,-0.06357,-0.07601,-0.18238,-0.13802,-0.23209,-0.27751,-0.2517,-0.2301,-0.18824,-0.10823,-0.12962,-0.10303,,,,,,,,,,,,,,,,,,,,,
Apr1952,-1.06453,-0.55805,-0.37285,-0.38689,0.30289,0.27358,0.07117,0.22181,-0.02366,-0.14918,-0.24808,0.06346,0.03908,-0.02517,-0.04102,-0.08398,-0.1485,-0.15552,-0.25404,-0.20894,-0.30403,-0.34822,-0.32324,-0.30126,-0.2618,-0.18527,-0.20724,-0.18113,,,,,,,,,,,,,,,,,,,,
May1952,0.21729,-0.23598,-0.2129,-0.1518,-0.24492,0.22635,0.22973,0.06346,0.19989,-0.0238,-0.14228,-0.22346,0.06243,0.0397,-0.01546,-0.02597,-0.06298,-0.1195,-0.12868,-0.22248,-0.18512,-0.27043,-0.31918,-0.29994,-0.2927,-0.25788,-0.18116,-0.20592,-0.18438,,,,,,,,,,,,,,,,,,,
Jun1952,-0.06257,-0.02794,-0.35504,-0.33363,-0.26521,-0.3348,0.08465,0.12335,-0.00621,0.12515,-0.07204,-0.18638,-0.25889,0.00611,-0.00807,-0.05996,-0.06859,-0.09964,-0.14902,-0.15219,-0.23792,-0.20703,-0.2902,-0.3398,-0.32029,-0.31286,-0.28096,-0.20271,-0.2294,-0.20625,,,,,,,,,,,,,,,,,,
