DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.37441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.43879,-0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.97653,0.15642,0.28128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.48399,0.92144,0.1895,0.30878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.22284,0.28768,0.77938,0.16848,0.2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,1.13397,0.72898,0.65014,0.96947,0.3252,0.37864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,1.08369,1.33781,1.00986,0.94429,1.1414,0.4904,0.49427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.54075,1.03722,1.29896,1.05015,0.98819,1.16519,0.53372,0.52112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,1.81992,1.76328,1.63158,1.782,1.5227,1.45399,1.45446,0.82895,0.72847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.41855,1.11992,1.14223,1.2328,1.41576,1.24767,1.20994,1.30028,0.74617,0.68274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.19132,-0.15156,0.78464,0.81243,1.03219,1.24828,1.12089,1.07822,1.22337,0.67817,0.64433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.17711,-0.15158,-0.30563,0.24687,0.32028,0.52214,0.70738,0.68394,0.7003,0.91092,0.5318,0.5459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.32854,0.08102,0.07815,-0.01961,0.30143,0.34865,0.46135,0.57205,0.5471,0.55134,0.72834,0.47496,0.50948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.43337,0.38289,0.19872,0.19261,0.1089,0.35404,0.38205,0.4633,0.55518,0.53876,0.54053,0.68227,0.48135,0.52321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.1562,0.34474,0.36216,0.19967,0.19189,0.1208,0.33168,0.35479,0.42301,0.50527,0.4935,0.49729,0.62833,0.44412,0.48381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.13239,0.02274,0.25837,0.32451,0.16905,0.16433,0.09481,0.30229,0.32388,0.39115,0.47237,0.45951,0.46864,0.59706,0.41552,0.45414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.91528,0.46733,0.32515,0.39542,0.403,0.2474,0.24093,0.17022,0.36603,0.38533,0.44781,0.52459,0.51004,0.51816,0.64299,0.45918,0.49419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.29811,0.46492,0.19203,0.16274,0.30887,0.34487,0.20087,0.19615,0.12768,0.32452,0.34383,0.40848,0.48513,0.47033,0.47925,0.60629,0.42897,0.46867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.62592,-0.67873,-0.02355,-0.0997,-0.00219,0.20281,0.28811,0.14865,0.14567,0.08034,0.27817,0.29784,0.36606,0.44189,0.42909,0.43993,0.56877,0.39119,0.43415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-1.01284,-1.14695,-1.0906,-0.3924,-0.3889,-0.22835,0.05674,0.19099,0.0626,0.06494,0.00255,0.2029,0.22342,0.29215,0.368,0.35895,0.36955,0.49978,0.32683,0.38062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.45983,-0.36991,-0.54668,-0.65099,-0.17443,-0.21839,-0.12207,0.09965,0.22013,0.10002,0.09812,0.03663,0.22958,0.24939,0.31647,0.39069,0.3822,0.39197,0.51991,0.35008,0.40546,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,-0.00439,0.20338,-0.28911,-0.42769,-0.52942,-0.15425,-0.19961,-0.11795,0.09575,0.22391,0.09933,0.09971,0.03825,0.22828,0.24708,0.31322,0.38568,0.37827,0.3874,0.5128,0.34588,0.39715,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,-0.25728,-0.32043,-0.18013,-0.51713,-0.63307,-0.68329,-0.38391,-0.3703,-0.30197,-0.06473,0.11733,0.00999,0.01148,-0.04276,0.14662,0.16437,0.23005,0.30304,0.30004,0.31313,0.43884,0.27486,0.3352,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,0.8952,0.51577,0.41519,0.42701,0.21621,0.0888,0.03059,0.22657,0.17438,0.17507,0.2735,0.33862,0.23867,0.22726,0.17183,0.3418,0.35912,0.41909,0.49071,0.48015,0.48983,0.60462,0.4328,0.46794,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-0.83856,-0.2182,-0.31926,-0.32164,-0.26479,-0.35971,-0.41772,-0.45907,-0.33214,-0.34533,-0.33682,-0.20489,-0.05751,-0.12791,-0.11442,-0.15086,0.01277,0.02837,0.08707,0.15031,0.14412,0.16992,0.26918,0.12289,0.18353,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.98144,0.01543,0.27676,0.17404,0.13908,0.1694,0.07898,0.01341,-0.02367,0.06199,0.03005,0.01092,0.09408,0.1891,0.1237,0.12954,0.09587,0.23855,0.25617,0.30955,0.36554,0.35653,0.37801,0.45896,0.31683,0.34645,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-0.2352,0.65097,-0.04275,0.19004,0.1022,0.07708,0.10328,0.02374,-0.0393,-0.06998,0.00858,-0.01834,-0.03222,0.03503,0.12418,0.06706,0.07739,0.0449,0.17984,0.19728,0.24594,0.29925,0.29028,0.31467,0.38608,0.25552,0.28758,,,,,,,,,,,,,,,,,,,,,
Apr1952,1.00149,0.32518,0.81005,0.11949,0.31443,0.22483,0.19312,0.21378,0.13292,0.06794,0.03656,0.11153,0.08659,0.07298,0.12952,0.1963,0.1457,0.15512,0.12177,0.25216,0.27012,0.31829,0.37017,0.36275,0.38319,0.45636,0.32623,0.35347,,,,,,,,,,,,,,,,,,,,
May1952,-0.59209,0.40981,0.05701,0.64339,0.01593,0.22635,0.14597,0.11816,0.13896,0.06059,-0.00269,-0.03522,0.0394,0.01703,0.0056,0.06024,0.13832,0.09109,0.10335,0.07168,0.20142,0.21916,0.26681,0.31761,0.31026,0.3322,0.4046,0.27598,0.30609,,,,,,,,,,,,,,,,,,,
Jun1952,0.11242,-0.45287,0.29297,0.00744,0.61073,0.00179,0.21313,0.1335,0.10632,0.12819,0.05051,-0.01025,-0.04245,0.0297,0.00746,-0.00272,0.05577,0.13341,0.08923,0.10149,0.07038,0.20047,0.21895,0.26704,0.31905,0.31119,0.33334,0.40433,0.27721,0.30589,,,,,,,,,,,,,,,,,,
Jul1952,2.00592,1.62972,0.98477,1.2634,0.7447,0.99388,0.31827,0.47947,0.38848,0.35372,0.364,0.283,0.21913,0.1849,0.25206,0.22515,0.21289,0.2566,0.30541,0.25681,0.2618,0.231,0.35469,0.37243,0.41902,0.47039,0.46039,0.47695,0.54713,0.42138,0.44084,,,,,,,,,,,,,,,,,
Aug1952,1.5575,2.22645,1.88068,1.38784,1.58175,1.03224,1.15532,0.46602,0.60647,0.51155,0.47293,0.47956,0.39905,0.33303,0.29892,0.36333,0.33236,0.31744,0.35583,0.39232,0.33795,0.33866,0.3079,0.42827,0.44525,0.49139,0.54269,0.53193,0.5468,0.61627,0.49253,0.50563,,,,,,,,,,,,,,,,
Sep1952,1.74239,2.19905,2.26773,2.16666,1.71617,1.85306,1.32354,1.3457,0.66398,0.78468,0.6878,0.64805,0.64784,0.56957,0.50381,0.47115,0.5284,0.4954,0.47896,0.50741,0.52764,0.47007,0.46488,0.43504,0.54909,0.56496,0.60923,0.65921,0.64711,0.65994,0.72766,0.60626,0.61141,,,,,,,,,,,,,,,
Oct1952,1.40544,1.95645,2.2924,2.31252,2.22414,1.83249,1.97565,1.47711,1.47125,0.80089,0.90406,0.80799,0.76923,0.76491,0.68892,0.62326,0.59044,0.64228,0.60749,0.58752,0.61064,0.6129,0.54984,0.54015,0.51146,0.62256,0.63799,0.68298,0.73316,0.71978,0.73042,0.79859,0.67545,0.6768,,,,,,,,,,,,,,
Nov1952,-1.16687,-0.25776,0.63269,1.08394,1.73051,1.60559,1.27258,1.41336,1.04763,1.18479,0.56057,0.69996,0.60196,0.56783,0.57044,0.49249,0.42703,0.39389,0.45647,0.42577,0.40773,0.44003,0.46523,0.40168,0.39654,0.36388,0.47909,0.49448,0.5405,0.5906,0.57857,0.59458,0.66048,0.53804,0.54726,,,,,,,,,,,,,
Dec1952,0.96678,0.16516,0.51362,0.9764,1.24462,1.62195,1.54087,1.32986,1.4601,1.20823,1.31166,0.74692,0.88032,0.78633,0.75656,0.75351,0.68336,0.62201,0.59399,0.64493,0.6136,0.59163,0.61062,0.61095,0.54066,0.53346,0.49783,0.60891,0.62352,0.66862,0.721,0.70742,0.72275,0.78932,0.66741,0.66194,,,,,,,,,,,,
Jan1953,0.75751,0.96819,0.58075,0.7418,0.97005,1.11825,1.34365,1.33084,1.2011,1.28522,1.16084,1.30702,0.84204,0.95135,0.86954,0.85732,0.85616,0.79727,0.74787,0.72042,0.76166,0.7377,0.70748,0.72491,0.71147,0.63444,0.62266,0.59072,0.69473,0.70903,0.75446,0.80679,0.79475,0.81058,0.89146,0.78435,0.79469,,,,,,,,,,,
Feb1953,0.46787,0.68832,0.85411,0.5766,0.69256,0.87084,0.98659,1.17178,1.16836,1.08167,1.15061,1.06097,1.21868,0.82579,0.93668,0.8615,0.85575,0.8562,0.80651,0.76532,0.7418,0.77916,0.75737,0.72562,0.74423,0.72496,0.65702,0.64589,0.61794,0.71559,0.72948,0.77262,0.823,0.81215,0.82583,0.9022,0.79835,0.8089,,,,,,,,,,
Mar1953,-0.34096,0.18269,0.52255,0.68136,0.4383,0.54608,0.70977,0.81251,0.98732,0.98311,0.91073,0.97702,0.90199,1.0624,0.71638,0.8265,0.76168,0.7563,0.75729,0.70957,0.66819,0.64506,0.68286,0.66561,0.63079,0.65187,0.64165,0.5717,0.56361,0.53633,0.63213,0.64565,0.6884,0.73673,0.72704,0.74252,0.81554,0.71504,0.72848,,,,,,,,,
Apr1953,-0.51753,-0.71119,-0.07127,0.38535,0.56197,0.32272,0.43483,0.60531,0.71092,0.89224,0.88849,0.81182,0.88351,0.80569,0.96999,0.63456,0.75511,0.69416,0.68748,0.68964,0.6424,0.60144,0.57779,0.61794,0.60229,0.56922,0.59222,0.58793,0.52117,0.51645,0.48989,0.58553,0.59914,0.64183,0.68999,0.68067,0.69734,0.76919,0.6689,0.68374,,,,,,,,
May1953,-1.12958,-1.04701,-0.96693,-0.28669,0.24075,0.43767,0.20822,0.32423,0.49643,0.60288,0.78625,0.78131,0.7074,0.78151,0.7059,0.87503,0.55462,0.67852,0.62151,0.61567,0.61811,0.57037,0.5285,0.50392,0.54476,0.53101,0.49731,0.52124,0.52259,0.45399,0.44963,0.42366,0.51947,0.53312,0.57646,0.62496,0.61587,0.63417,0.70604,0.60567,0.62269,,,,,,,
Jun1953,1.63109,0.51162,-0.18687,-0.36674,0.02888,0.41069,0.5815,0.35385,0.46018,0.62271,0.72328,0.89968,0.89533,0.81911,0.89035,0.81578,0.98018,0.65135,0.77228,0.71164,0.70675,0.70846,0.66225,0.62222,0.59967,0.63848,0.62263,0.58887,0.61223,0.60571,0.53547,0.52811,0.50188,0.59637,0.60936,0.65202,0.70092,0.69134,0.70772,0.77948,0.67961,0.69352,,,,,,
