DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,1.30867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.30371,0.91826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.29064,0.83968,1.09933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.14667,0.7237,0.57953,0.91787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-0.21936,-0.27245,0.37195,0.36724,0.73532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.47927,0.03936,-0.08015,0.38544,0.40871,0.74684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.81491,-0.39484,-0.46341,-0.50816,0.07577,0.17413,0.53543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-1.31591,-1.45397,-1.15816,-1.03279,-0.98444,-0.39251,-0.22602,0.2173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,1.3273,0.31134,-0.21395,-0.0486,-0.22217,-0.28792,0.09317,0.15721,0.50405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.1397,0.59652,0.07172,-0.27464,-0.14426,-0.29337,-0.35808,-0.05044,0.01548,0.32994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.35374,-0.45107,0.21168,-0.20458,-0.4367,-0.34623,-0.45825,-0.51087,-0.24596,-0.18147,0.13005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.3901,-0.57909,-0.5994,-0.17106,-0.45816,-0.64254,-0.57321,-0.65057,-0.70362,-0.48218,-0.40637,-0.12472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.11478,-0.29691,-0.46548,-0.55247,-0.18765,-0.44491,-0.59543,-0.52983,-0.59747,-0.66236,-0.46248,-0.39592,-0.13631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.13432,-0.08083,-0.33219,-0.45205,-0.53156,-0.21674,-0.4483,-0.58668,-0.528,-0.58939,-0.65634,-0.46702,-0.41156,-0.16887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
