DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.01339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.28798,0.00172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.67417,0.48648,0.27319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.72892,0.72684,0.59068,0.39835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.50348,0.69579,0.71094,0.57379,0.42544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.76049,-0.13602,0.16836,0.34459,0.25012,0.16477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,1.48763,0.97739,0.87722,0.95129,0.95823,0.77915,0.61567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,2.57077,2.88776,2.42385,2.01695,1.85456,1.72207,1.5578,1.39306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.99494,1.6617,2.06052,1.7954,1.65926,1.59292,1.4837,1.33623,1.18328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.50747,-0.01597,1.30416,1.69265,1.49527,1.47671,1.48438,1.41721,1.29693,1.18162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.46161,-0.07019,-0.4033,0.65527,1.01948,0.88512,0.87675,0.91385,0.92641,0.85665,0.7986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.17885,-0.27243,-0.03402,-0.25509,0.4917,0.77975,0.68421,0.69538,0.72808,0.75224,0.71002,0.6849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.73782,-0.0841,-0.41713,-0.15625,-0.36619,0.36936,0.66863,0.58712,0.60141,0.62959,0.64893,0.61654,0.58952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.11372,-0.68459,-0.20876,-0.46942,-0.23055,-0.43168,0.27554,0.57091,0.49091,0.51719,0.55118,0.57787,0.55431,0.53287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.25066,-0.38933,-0.72289,-0.26715,-0.49857,-0.26605,-0.46074,0.22953,0.51822,0.44129,0.46969,0.50287,0.53374,0.50127,0.47932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.29677,-0.168,-0.27653,-0.58657,-0.25428,-0.46158,-0.25713,-0.44552,0.20254,0.48424,0.40931,0.44637,0.48359,0.51719,0.49269,0.47085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.70034,0.58282,0.22336,0.02497,-0.27489,-0.11592,-0.33908,-0.16807,-0.33975,0.27025,0.5391,0.46147,0.49824,0.52832,0.56035,0.53217,0.50536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.26544,0.3418,0.27686,0.02971,-0.14562,-0.3839,-0.2008,-0.40199,-0.21852,-0.38655,0.22465,0.49045,0.4112,0.45217,0.48359,0.51565,0.48931,0.4637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.18596,-0.36556,0.1375,0.14341,-0.01999,-0.17553,-0.4196,-0.24097,-0.43229,-0.24785,-0.41703,0.18705,0.45602,0.37325,0.40165,0.43206,0.465,0.44071,0.41064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.8535,0.40279,0.2611,0.50062,0.50283,0.28026,0.08443,-0.1908,-0.06671,-0.28388,-0.11799,-0.28482,0.30689,0.56871,0.48651,0.51007,0.53715,0.56268,0.53609,0.50146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,1.84174,1.89937,1.5694,1.44816,1.41326,1.27721,1.0102,0.78009,0.49455,0.42724,0.15816,0.27979,0.13957,0.66319,0.88981,0.81161,0.82024,0.83729,0.84349,0.81157,0.76295,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,-1.44698,-0.13616,0.1833,0.07973,0.0267,0.18126,0.15275,0.01748,-0.11704,-0.27336,-0.16022,-0.35356,-0.17265,-0.33906,0.26349,0.51017,0.43265,0.46365,0.50136,0.52405,0.48596,0.44749,,,,,,,,,,,,,,,,,,,,,,,,,,
