DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-1.28228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.26272,-0.94559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.41614,1.06438,0.65032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,1.08531,1.36792,1.204,1.00696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-0.17047,0.22336,0.54281,0.47093,0.35193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.26309,-0.45069,-0.18707,0.0298,-0.00273,-0.06441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,1.13436,0.7007,0.51855,0.61014,0.7079,0.6777,0.64717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,1.62915,1.7169,1.4473,1.31419,1.35428,1.39899,1.36569,1.34256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.87696,1.07115,1.34991,1.0925,0.96076,1.01707,1.07174,1.04418,1.02062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.93275,-0.09149,1.18142,1.42883,1.19798,1.09609,1.1357,1.18084,1.1565,1.13682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-1.84682,0.4741,-0.43671,1.00195,1.32279,1.09077,0.97339,1.02323,1.07629,1.05244,1.03271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.70393,-0.93152,0.49692,-0.38209,1.01499,1.33863,1.10373,0.98919,1.03765,1.08982,1.0659,1.04641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.17493,0.51659,-0.83576,0.45357,-0.39277,1.01702,1.33108,1.09286,0.97701,1.02584,1.07867,1.05472,1.03525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.48299,-0.34152,0.06495,-0.93881,0.38798,-0.44258,0.99156,1.31508,1.07321,0.95438,1.00446,1.05806,1.03434,1.01489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.67447,-0.83113,-0.71405,-0.28698,-1.04405,0.28408,-0.50178,0.92949,1.27599,1.03403,0.91531,0.96686,1.02218,0.99865,0.97942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.3657,-0.68051,-0.78656,-0.77828,-0.50133,-1.03995,0.15213,-0.57049,0.85398,1.23631,1.00072,0.87713,0.93186,0.98921,0.96618,0.94706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
