DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.19144,0.12691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.85629,0.50238,0.32793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,1.15877,1.10349,0.72763,0.47841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.30575,0.93182,1.04786,0.77398,0.5146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.40167,0.50738,0.89926,1.03172,0.83273,0.5733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,0.09569,0.40946,0.4919,0.78514,0.94551,0.79766,0.56806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.69192,0.57175,0.62103,0.66338,0.99897,1.12733,0.99855,0.72557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.09356,0.53047,0.40317,0.53076,0.56392,0.88394,1.02685,0.94741,0.73064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.16516,-0.13302,0.28292,0.2145,0.36577,0.42298,0.7241,0.85746,0.7919,0.63789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.17118,-0.26726,-0.24115,0.11954,0.08199,0.22252,0.27896,0.53634,0.67324,0.64994,0.55225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.40757,0.20764,0.04161,0.0193,0.24127,0.21589,0.2698,0.30932,0.51436,0.63151,0.61297,0.55299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.24227,0.32497,0.17392,0.0452,0.04554,0.22211,0.21279,0.25499,0.28548,0.43363,0.52985,0.51255,0.50457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,1.14352,0.6419,0.58098,0.46922,0.34882,0.32438,0.45535,0.4291,0.43649,0.46216,0.58919,0.67688,0.66025,0.64545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.56938,0.58299,0.40404,0.39783,0.30566,0.19514,0.183,0.30442,0.2922,0.3052,0.33221,0.45011,0.53,0.51273,0.51669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.59142,-0.0337,0.63744,0.44579,0.44366,0.35745,0.26232,0.24599,0.35787,0.34452,0.35495,0.37887,0.48859,0.56298,0.54522,0.5446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.13553,0.45381,0.01254,0.64391,0.45129,0.44493,0.36944,0.27794,0.2597,0.37358,0.35511,0.36957,0.39298,0.49985,0.5722,0.5535,0.55666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.86745,-0.57059,-0.206,-0.46646,0.27728,0.2178,0.26552,0.18858,0.10158,0.09544,0.21284,0.20791,0.24237,0.26415,0.37457,0.44757,0.41986,0.42482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.88549,0.12828,0.19095,0.35262,0.0297,0.53549,0.40355,0.4142,0.33631,0.2578,0.24189,0.34909,0.34472,0.37585,0.39039,0.50105,0.58064,0.56116,0.5623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.90331,-0.03658,-0.49106,-0.36604,-0.13604,-0.42682,0.19396,0.19621,0.26911,0.1837,0.10591,0.10348,0.21427,0.21953,0.26089,0.27534,0.38585,0.46205,0.44302,0.44796,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.41863,-0.48875,0.10521,-0.27228,-0.19534,0.01675,-0.25035,0.29527,0.27904,0.34373,0.25705,0.18251,0.17458,0.27888,0.28455,0.31926,0.33276,0.44318,0.51403,0.49636,0.497,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,-0.31985,-0.04832,-0.57215,-0.09298,-0.37903,-0.29648,-0.10713,-0.34413,0.15299,0.17101,0.24909,0.17955,0.10613,0.10031,0.19949,0.20781,0.24187,0.25784,0.36402,0.4347,0.42114,0.42696,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,-1.19483,-1.04397,-0.68235,-0.98777,-0.54903,-0.73962,-0.65076,-0.51847,-0.69944,-0.2477,-0.1482,-0.01441,-0.06548,-0.12427,-0.10632,-0.00079,0.01612,0.06504,0.08391,0.19158,0.25977,0.24332,0.25185,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,0.48965,-0.19809,-0.3661,-0.22958,-0.47787,-0.19896,-0.40482,-0.35872,-0.25371,-0.43034,-0.08897,-0.0348,0.0915,0.04286,0.01309,0.01627,0.09921,0.12221,0.17254,0.18324,0.28576,0.35555,0.34161,0.34282,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-1.13252,-0.40618,-0.80134,-0.8801,-0.72108,-0.85832,-0.61649,-0.74331,-0.69878,-0.6295,-0.75347,-0.49113,-0.42236,-0.28704,-0.31374,-0.34319,-0.32474,-0.24369,-0.19878,-0.1344,-0.11918,-0.01882,0.04051,0.01889,0.02529,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.77536,-0.42022,-0.12116,-0.44777,-0.5633,-0.46026,-0.58182,-0.39817,-0.53425,-0.50296,-0.44202,-0.55925,-0.33376,-0.27905,-0.1574,-0.19195,-0.2265,-0.20852,-0.13077,-0.09455,-0.03913,-0.02972,0.06422,0.12207,0.09505,0.09983,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-0.04107,0.45439,-0.3843,-0.14336,-0.42818,-0.53667,-0.44732,-0.57027,-0.40262,-0.5314,-0.50194,-0.44472,-0.55322,-0.34575,-0.29362,-0.17775,-0.21367,-0.24954,-0.23338,-0.15822,-0.12601,-0.07559,-0.06215,0.02984,0.08921,0.06525,0.07545,,,,,,,,,,,,,,,,,,,,,
Apr1952,-0.48057,-0.31029,0.22875,-0.46093,-0.20589,-0.46343,-0.56265,-0.47914,-0.59123,-0.43111,-0.54962,-0.52058,-0.46708,-0.57218,-0.37812,-0.33084,-0.22189,-0.25831,-0.29283,-0.27698,-0.20163,-0.168,-0.11917,-0.10476,-0.01571,0.04406,0.01983,0.03416,,,,,,,,,,,,,,,,,,,,
May1952,0.71696,0.21715,0.09633,0.44451,-0.30277,-0.09761,-0.35,-0.45521,-0.37797,-0.49027,-0.33529,-0.45629,-0.43,-0.38005,-0.49077,-0.30306,-0.25957,-0.15224,-0.19025,-0.22638,-0.21138,-0.13773,-0.10744,-0.05775,-0.04561,0.04477,0.10722,0.0875,0.09985,,,,,,,,,,,,,,,,,,,
Jun1952,-0.14359,0.33689,0.07223,-0.01164,0.32717,-0.36861,-0.14544,-0.39879,-0.49864,-0.41991,-0.53082,-0.37257,-0.48478,-0.46056,-0.41003,-0.52172,-0.34433,-0.30809,-0.20859,-0.25216,-0.2881,-0.27042,-0.19463,-0.16547,-0.11683,-0.09879,-0.0072,0.06148,0.04551,0.05796,,,,,,,,,,,,,,,,,,
Jul1952,-0.69817,-0.53741,-0.05716,-0.24137,-0.3329,0.01571,-0.58567,-0.31493,-0.55584,-0.64714,-0.5605,-0.66809,-0.49656,-0.59613,-0.56782,-0.51834,-0.6269,-0.44649,-0.40851,-0.29534,-0.33696,-0.37605,-0.35425,-0.27417,-0.24124,-0.18406,-0.16014,-0.06477,0.00512,-0.01164,-0.00067,,,,,,,,,,,,,,,,,
Aug1952,0.16753,-0.49405,-0.41515,-0.06017,-0.20802,-0.30623,0.03232,-0.55538,-0.28026,-0.5414,-0.6257,-0.53131,-0.65131,-0.46946,-0.57603,-0.54874,-0.50082,-0.61238,-0.42798,-0.39772,-0.28943,-0.32943,-0.3677,-0.34999,-0.27141,-0.24041,-0.18267,-0.15951,-0.06383,0.0055,-0.01072,0.00374,,,,,,,,,,,,,,,,
