DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.77564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.7111,-0.92723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.31876,0.65206,-0.03679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,1.34329,1.40392,0.90755,0.31575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-0.06429,0.63074,1.03786,0.66635,0.21291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.22887,-0.24185,0.28893,0.78335,0.48361,0.07516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,0.49036,0.16082,-0.00443,0.38947,0.79372,0.51133,0.12395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.0196,0.27254,0.0462,-0.05103,0.33539,0.71446,0.46543,0.10042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.51345,0.2731,0.40371,0.16243,0.10962,0.45038,0.77509,0.5692,0.20875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.97702,0.98856,0.77797,0.77326,0.51758,0.42839,0.71448,0.98282,0.76017,0.4018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.38288,0.26847,0.39841,0.28696,0.33847,0.15725,0.1279,0.44354,0.74733,0.55543,0.22433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,1.25126,0.89627,1.09829,1.16165,1.11027,1.13165,0.9801,0.92081,1.09104,1.25346,1.11327,0.84518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.34137,1.04884,0.7955,0.95506,0.99451,0.96857,0.9984,0.89109,0.83604,0.9732,1.12505,0.99845,0.77427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,1.59901,1.00905,1.231,1.03512,1.15367,1.18512,1.16229,1.18462,1.10388,1.05611,1.16229,1.28235,1.1737,0.96355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.673,0.88931,0.66097,1.04142,0.86404,0.99118,1.03332,1.02254,1.04257,0.95676,0.90305,1.00982,1.14044,1.03374,0.83696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.22754,-0.31813,0.76139,0.61552,0.99649,0.835,0.95574,0.99744,0.98958,1.00752,0.91968,0.86602,0.96706,1.09178,0.99012,0.80587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.27263,0.25851,-0.1194,0.65106,0.56725,0.95112,0.808,0.92767,0.96349,0.9484,0.96796,0.88007,0.82767,0.9291,1.05646,0.95433,0.77819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-1.75529,-0.87262,-0.75785,-0.90387,-0.01315,0.07031,0.65838,0.53811,0.66873,0.70982,0.69921,0.71488,0.62136,0.56198,0.67447,0.81803,0.72001,0.55834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.28941,-1.00479,-0.61089,-0.55366,-0.759,-0.00234,0.06625,0.64222,0.51694,0.65376,0.68875,0.6811,0.69609,0.60486,0.54455,0.65916,0.80721,0.70908,0.55441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.37772,0.41587,-0.65483,-0.42977,-0.38493,-0.57892,0.10201,0.14369,0.68391,0.55923,0.69007,0.73238,0.72247,0.73195,0.64534,0.58855,0.69833,0.83652,0.74172,0.57991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.25598,0.32776,0.33962,-0.49744,-0.32316,-0.27218,-0.45598,0.1684,0.17648,0.69118,0.57471,0.6992,0.74004,0.7236,0.73465,0.66022,0.60155,0.70885,0.84447,0.75203,0.58941,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,-0.66092,-0.36387,-0.18119,-0.10606,-0.73346,-0.57028,-0.52886,-0.68975,-0.08586,-0.02519,0.57233,0.45639,0.59626,0.64058,0.61936,0.63542,0.56004,0.50157,0.61589,0.76046,0.66876,0.51227,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,-0.33247,-0.66055,-0.55937,-0.42263,-0.39796,-0.88238,-0.7534,-0.71531,-0.8598,-0.29847,-0.18622,0.45109,0.36923,0.51311,0.55901,0.5352,0.55318,0.47848,0.42472,0.53997,0.69416,0.60182,0.44955,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,1.20464,0.85896,0.64642,0.6555,0.71843,0.70088,0.20532,0.24897,0.2696,0.11546,0.51178,0.52436,0.8889,0.80055,0.90997,0.93915,0.91529,0.92714,0.85789,0.81053,0.91359,1.04098,0.95127,0.80036,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-1.25199,0.61082,0.35317,0.1655,0.17118,0.25543,0.26309,-0.14953,-0.11747,-0.1091,-0.23581,0.12117,0.17155,0.61024,0.54036,0.65802,0.70366,0.66208,0.67691,0.60144,0.5561,0.66269,0.79663,0.71229,0.57493,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.02833,-0.98239,0.48997,0.28384,0.12153,0.13277,0.2074,0.20957,-0.17022,-0.14652,-0.13596,-0.25542,0.07129,0.123,0.54915,0.48356,0.59671,0.64237,0.60455,0.61763,0.5457,0.50283,0.6065,0.73868,0.65647,0.52699,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-0.1923,-0.28219,-0.95088,0.35566,0.18817,0.04615,0.0613,0.14241,0.14476,-0.22479,-0.20957,-0.19634,-0.31407,-0.00489,0.04548,0.46947,0.4117,0.51974,0.56549,0.53023,0.54239,0.47254,0.43308,0.53677,0.67172,0.59082,0.47099,,,,,,,,,,,,,,,,,,,,,
Apr1952,0.28478,-0.05421,-0.12932,-0.72392,0.36244,0.21385,0.08097,0.09705,0.17252,0.16978,-0.18204,-0.17053,-0.15665,-0.26961,0.01966,0.06661,0.46569,0.41039,0.51204,0.55728,0.52557,0.53862,0.47238,0.43538,0.53483,0.66394,0.58786,0.47388,,,,,,,,,,,,,,,,,,,,
May1952,0.44574,0.415,0.13317,0.04682,-0.45044,0.38347,0.25758,0.13639,0.14716,0.20614,0.20289,-0.12491,-0.12235,-0.11176,-0.21662,0.04689,0.08793,0.46943,0.41312,0.51065,0.55706,0.52518,0.54189,0.47905,0.44424,0.54231,0.66702,0.59231,0.4784,,,,,,,,,,,,,,,,,,,
Jun1952,0.26844,0.38421,0.38641,0.14502,0.06453,-0.40523,0.3601,0.26056,0.14203,0.15396,0.20704,0.2018,-0.10244,-0.10085,-0.09195,-0.19131,0.06277,0.10054,0.47058,0.4107,0.50982,0.54992,0.51848,0.53466,0.47175,0.43801,0.53713,0.66169,0.5868,0.47441,,,,,,,,,,,,,,,,,,
Jul1952,0.55397,0.49652,0.50152,0.49467,0.26139,0.15751,-0.29979,0.38897,0.28489,0.17185,0.17649,0.22849,0.22189,-0.07151,-0.0688,-0.05623,-0.15598,0.09428,0.13895,0.49771,0.44663,0.54382,0.5789,0.5484,0.56478,0.5048,0.46827,0.56576,0.68553,0.61162,0.50087,,,,,,,,,,,,,,,,,
Aug1952,-0.50628,-0.03593,0.10803,0.23278,0.25297,0.06615,-0.01391,-0.43453,0.30448,0.20104,0.09081,0.10535,0.15394,0.14832,-0.13847,-0.13084,-0.11992,-0.22565,0.02589,0.06296,0.42732,0.37738,0.47744,0.51293,0.48066,0.49573,0.43512,0.40385,0.49997,0.62224,0.54783,0.4409,,,,,,,,,,,,,,,,
Sep1952,0.61277,0.05664,0.26643,0.26533,0.39016,0.42519,0.25709,0.18868,-0.25779,0.38943,0.28953,0.17356,0.18621,0.22574,0.21645,-0.05471,-0.04937,-0.04169,-0.15309,0.09898,0.13389,0.48943,0.44164,0.53641,0.57231,0.54432,0.55563,0.49107,0.45327,0.54761,0.66793,0.59335,0.47974,,,,,,,,,,,,,,,
Oct1952,0.72173,0.89478,0.42711,0.52097,0.49915,0.58636,0.60199,0.40798,0.32479,-0.10831,0.48403,0.38231,0.27078,0.28231,0.31764,0.31097,0.04221,0.04597,0.05432,-0.05271,0.19609,0.2293,0.56576,0.51951,0.61675,0.65069,0.61992,0.62861,0.565,0.52948,0.6243,0.74213,0.66888,0.55879,,,,,,,,,,,,,,
Nov1952,-0.93768,-0.36799,-0.08994,-0.38353,-0.25028,-0.15473,0.00672,0.06152,-0.09033,-0.14,-0.49127,0.20088,0.13788,0.01625,0.03356,0.07194,0.07453,-0.1992,-0.18194,-0.17637,-0.27337,-0.01051,0.03525,0.42086,0.36132,0.46341,0.49709,0.46683,0.47573,0.40854,0.3751,0.47405,0.60404,0.52724,0.41437,,,,,,,,,,,,,
Dec1952,0.60358,-0.10507,0.12926,0.28229,0.13403,0.20689,0.17918,0.26786,0.29651,0.20161,0.15172,-0.15377,0.37231,0.30941,0.20386,0.2091,0.22928,0.21749,-0.04832,-0.03652,-0.02654,-0.12232,0.11244,0.15189,0.50947,0.46463,0.56183,0.59227,0.56708,0.57016,0.50674,0.47454,0.57328,0.69872,0.63208,0.51758,,,,,,,,,,,,
Jan1953,0.45115,0.53902,0.04543,0.21359,0.31699,0.20863,0.27717,0.26333,0.317,0.32029,0.22695,0.17156,-0.10149,0.3707,0.31718,0.2163,0.23281,0.23853,0.22957,-0.02093,-0.00662,0.00214,-0.08006,0.14011,0.17816,0.51181,0.47267,0.56074,0.59067,0.57075,0.56833,0.50532,0.48088,0.57653,0.70411,0.64287,0.53885,,,,,,,,,,,
Feb1953,1.18406,0.7561,0.68307,0.28374,0.4144,0.49987,0.40618,0.4545,0.43511,0.47075,0.46937,0.3786,0.32298,0.06779,0.47844,0.42357,0.33005,0.34402,0.35306,0.34241,0.10352,0.10987,0.11774,0.04103,0.2457,0.27729,0.58756,0.54861,0.63265,0.65975,0.6416,0.64001,0.58144,0.55712,0.64878,0.76995,0.71096,0.60929,,,,,,,,,,
Mar1953,0.12891,0.69282,0.58563,0.58337,0.23328,0.36401,0.45099,0.37359,0.41817,0.39099,0.41507,0.4157,0.32739,0.27215,0.02731,0.42759,0.37966,0.28315,0.29556,0.30795,0.29775,0.06719,0.07484,0.08289,0.00887,0.2101,0.24771,0.55198,0.51505,0.60016,0.62869,0.61115,0.6103,0.55435,0.53394,0.62346,0.74354,0.68635,0.58554,,,,,,,,,
Apr1953,-0.84257,-0.42963,0.30251,0.35798,0.45467,0.13253,0.26057,0.3487,0.27487,0.31607,0.28452,0.30796,0.31293,0.23066,0.18035,-0.04611,0.34806,0.30261,0.2078,0.22218,0.23773,0.23046,0.0101,0.01952,0.02808,-0.04083,0.15407,0.19165,0.49212,0.45433,0.53673,0.56542,0.54934,0.54835,0.49354,0.47601,0.56416,0.68409,0.62929,0.5307,,,,,,,,
May1953,0.48064,-0.03765,-0.06919,0.36663,0.40364,0.4738,0.19022,0.30669,0.38298,0.30508,0.34264,0.3072,0.32513,0.32938,0.25292,0.20217,-0.01261,0.36018,0.31305,0.21991,0.23652,0.25074,0.24758,0.03661,0.04543,0.05377,-0.0145,0.17253,0.20597,0.4989,0.45844,0.54008,0.57052,0.55386,0.55677,0.50656,0.48936,0.57626,0.69461,0.63887,0.54088,,,,,,,
Jun1953,1.10238,0.97303,0.60754,0.42079,0.7021,0.64645,0.61569,0.36488,0.46553,0.53256,0.45803,0.48739,0.45931,0.47238,0.47519,0.40214,0.35317,0.14038,0.4795,0.42816,0.3387,0.34782,0.36063,0.35592,0.14664,0.15507,0.16438,0.09343,0.27583,0.30792,0.59225,0.55188,0.63351,0.65981,0.64401,0.64835,0.59958,0.57981,0.66421,0.77771,0.72119,0.62336,,,,,,
Jul1953,0.72939,1.0846,1.01733,0.74577,0.57109,0.78692,0.72232,0.67223,0.41777,0.51911,0.57675,0.50516,0.53244,0.50818,0.52028,0.5248,0.45347,0.40578,0.20338,0.52805,0.48513,0.39886,0.40318,0.41515,0.4103,0.20588,0.21019,0.21965,0.14708,0.32596,0.35721,0.6343,0.59509,0.67399,0.70149,0.68344,0.68928,0.64192,0.61945,0.70178,0.80997,0.7536,0.6565,,,,,
Aug1953,-0.50452,0.12927,0.72946,0.75405,0.50217,0.36087,0.60624,0.5864,0.5869,0.33496,0.43903,0.50817,0.43313,0.45857,0.43762,0.45238,0.45746,0.38082,0.33644,0.12752,0.45816,0.41648,0.33132,0.33499,0.34631,0.34002,0.13658,0.14705,0.15518,0.08408,0.26206,0.29705,0.57437,0.53477,0.61193,0.64196,0.62579,0.62954,0.57981,0.55813,0.64027,0.75025,0.69458,0.59652,,,,
Sep1953,-0.14744,-0.55181,-0.11377,0.42117,0.53324,0.33867,0.24919,0.50684,0.50055,0.52981,0.28543,0.38561,0.45603,0.37216,0.3988,0.39327,0.40785,0.41219,0.33246,0.29235,0.08705,0.42606,0.38654,0.30037,0.30604,0.32277,0.31324,0.10784,0.11031,0.11806,0.04873,0.22101,0.25055,0.53561,0.49271,0.57343,0.60397,0.58632,0.59124,0.53865,0.51815,0.60262,0.71595,0.66049,0.56135,,,
Oct1953,-1.84769,-1.62081,-1.6286,-1.14252,-0.47006,-0.25472,-0.43847,-0.45846,-0.12712,-0.01828,0.16874,-0.0754,0.04414,0.1302,0.03592,0.07776,0.08168,0.10924,0.1216,0.05068,0.01473,-0.178,0.19774,0.1576,0.07499,0.08145,0.09991,0.08915,-0.1156,-0.10464,-0.09517,-0.16058,0.01296,0.05239,0.36148,0.31745,0.39881,0.43131,0.41548,0.42172,0.36816,0.3504,0.43694,0.55855,0.5017,0.39736,,
Nov1953,-0.87468,-1.98326,-1.82636,-1.85641,-1.49652,-0.93302,-0.73631,-0.89062,-0.87833,-0.5715,-0.378,-0.11869,-0.34204,-0.21103,-0.1139,-0.21281,-0.15594,-0.14329,-0.10217,-0.09276,-0.15355,-0.18467,-0.37827,0.04522,-0.01095,-0.10148,-0.09297,-0.07183,-0.0786,-0.28685,-0.26501,-0.25406,-0.31291,-0.13216,-0.09238,0.22583,0.18843,0.27098,0.30434,0.29266,0.29628,0.24348,0.22536,0.31144,0.43629,0.37812,0.27334,
Dec1953,-0.28497,-0.84104,-1.46403,-1.51375,-1.65435,-1.40409,-0.99242,-0.8477,-0.95623,-0.94465,-0.70448,-0.52947,-0.26482,-0.47214,-0.348,-0.26219,-0.36537,-0.31994,-0.31428,-0.26714,-0.24988,-0.30593,-0.34442,-0.5268,-0.10628,-0.15469,-0.24375,-0.23012,-0.20155,-0.21203,-0.41408,-0.38759,-0.37426,-0.42095,-0.23199,-0.20066,0.12871,0.07946,0.15546,0.18952,0.17481,0.18301,0.13376,0.11778,0.20385,0.32959,0.27316,0.17105
Jan1954,-1.25878,-0.81505,-1.13517,-1.61362,-1.62026,-1.77911,-1.56,-1.20047,-1.06459,-1.14013,-1.12606,-0.93196,-0.7944,-0.51961,-0.71391,-0.59906,-0.50729,-0.60428,-0.55174,-0.53469,-0.47592,-0.45837,-0.49821,-0.52862,-0.68956,-0.28292,-0.33009,-0.41537,-0.39509,-0.36508,-0.3718,-0.55981,-0.52581,-0.51082,-0.55062,-0.36912,-0.34488,-0.02183,-0.0753,-0.00057,0.03024,0.01455,0.02574,-0.02094,-0.0328,0.05259,0.17508,0.12283
Feb1954,-1.11275,-1.37844,-0.92732,-1.19337,-1.65074,-1.67393,-1.83994,-1.61163,-1.2643,-1.12601,-1.18871,-1.17952,-1.00121,-0.87011,-0.59368,-0.78547,-0.67593,-0.59018,-0.67414,-0.62204,-0.60581,-0.55118,-0.5335,-0.5665,-0.59728,-0.75378,-0.35987,-0.40976,-0.49281,-0.47254,-0.44423,-0.44701,-0.62571,-0.58986,-0.57529,-0.61285,-0.43381,-0.41156,-0.08845,-0.14204,-0.06862,-0.03809,-0.05343,-0.04248,-0.085,-0.09706,-0.0135,0.10512
Mar1954,2.08073,1.53555,0.67273,0.17854,-0.16064,-0.61731,-0.68623,-0.80533,-0.657,-0.41888,-0.35131,-0.44459,-0.46737,-0.30455,-0.20851,-0.06313,-0.23638,-0.14312,-0.06974,-0.15966,-0.1269,-0.12793,-0.09323,-0.07981,-0.1197,-0.15703,-0.31558,0.0288,-0.00622,-0.08938,-0.07603,-0.05054,-0.06562,-0.25407,-0.22207,-0.2074,-0.24532,-0.06552,-0.04599,0.24685,0.19902,0.27108,0.29798,0.27969,0.2879,0.24146,0.22209,0.30487
