DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.59364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.84139,-0.05671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.32217,0.32491,0.47108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.73812,1.25005,0.41375,0.51999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-0.17941,0.27794,0.93106,0.28163,0.40753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,1.20397,0.57846,0.71452,1.13382,0.5411,0.59475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,1.12661,1.42141,0.98628,1.05531,1.33995,0.79084,0.79088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.46858,1.03325,1.31396,1.02432,1.0962,1.30428,0.81463,0.80744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,1.90849,1.76506,1.88729,1.94043,1.61953,1.63883,1.64295,1.21056,1.12053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.74929,1.1157,1.1787,1.3578,1.49625,1.27736,1.32629,1.45162,1.06946,1.02071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.12135,-0.39965,0.81332,0.85678,1.12904,1.284,1.11888,1.16397,1.33659,0.9965,0.97488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.22336,-0.23491,-0.52378,0.31413,0.42329,0.73859,0.92832,0.81104,0.8698,1.08742,0.81219,0.83245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.68569,-0.6883,-0.64361,-0.75416,-0.13947,-0.02142,0.28526,0.4956,0.41222,0.4661,0.73567,0.51906,0.57153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.34434,-0.32221,-0.43965,-0.43799,-0.55639,-0.06323,0.02362,0.26615,0.45032,0.38445,0.4433,0.69459,0.50726,0.5744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.20634,0.04812,-0.36054,-0.45113,-0.43677,-0.54503,-0.12158,-0.03987,0.17492,0.34119,0.28261,0.33968,0.58376,0.41008,0.48682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.35752,-0.46114,-0.17082,-0.46542,-0.52864,-0.50374,-0.59698,-0.20182,-0.1174,0.08695,0.24997,0.19385,0.2554,0.50173,0.33658,0.41914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,1.81944,1.15676,0.64758,0.52692,0.08429,-0.0777,-0.08895,-0.21876,0.14191,0.21257,0.37383,0.51083,0.45032,0.50536,0.71806,0.5575,0.62901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.53477,1.06226,0.63957,0.36434,0.33198,-0.02705,-0.16005,-0.16103,-0.27673,0.07167,0.14157,0.29592,0.42956,0.37197,0.42644,0.63976,0.48898,0.56925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.16301,-0.22191,0.89955,0.59586,0.38992,0.35869,-0.00338,-0.1363,-0.14015,-0.26396,0.08066,0.14446,0.29695,0.43449,0.37948,0.43179,0.64219,0.49352,0.57658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
